#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            20.000000           20.000000           28.000000           28.000000           36.000000           36.000000           44.000000           44.000000
   0.0100000   -1.0790870918e-10   -1.9649915772e-10    1.3418369656e-10   -1.0636413567e-10    2.2804067297e-12   -2.7582574935e-11    1.1532460094e-12   -5.7375631961e-12
   0.0200000   -1.0480805047e-10   -2.9005038016e-10    1.5463457592e-10   -1.0580273675e-10    2.2850946661e-12   -2.7582193240e-11    1.1533505982e-12   -5.7372295669e-12
   0.0300000   -1.0099190938e-10   -3.7921870500e-10    1.7745287114e-10   -1.0357475952e-10    2.2893683564e-12   -2.7582356558e-11    1.1537566250e-12   -5.7379037556e-12
   0.0400000   -9.6378718665e-11   -4.6352688384e-10    2.0099694633e-10   -1.0079011031e-10    2.2951779135e-12   -2.7582732921e-11    1.1541841540e-12   -5.7376437483e-12
   0.0500000   -9.0836657744e-11   -5.4241680611e-10    2.2517873082e-10   -9.7541702958e-11    2.3025794195e-12   -2.7582376402e-11    1.1557628284e-12   -5.7374092829e-12
   0.0600000   -8.4272541687e-11   -6.1529970456e-10    2.4988862808e-10   -9.3953659847e-11    2.3126706305e-12   -2.7583965217e-11    1.1561734763e-12   -5.7383668497e-12
   0.0700000   -7.6623453356e-11   -6.8150725235e-10    2.7497539135e-10   -9.0142132312e-11    2.3234745414e-12   -2.7585295643e-11    1.1562674816e-12   -5.7374928632e-12
   0.0800000   -6.7873789288e-11   -7.4032226104e-10    3.0029625840e-10   -8.6239660520e-11    2.3361735147e-12   -2.7587333143e-11    1.1573602884e-12   -5.7381499953e-12
   0.0900000   -5.8049544235e-11   -7.9099072210e-10    3.2568820612e-10   -8.2384310121e-11    2.3519542342e-12   -2.7589078166e-11    1.1577947106e-12   -5.7385743748e-12
   0.1000000   -4.7230550463e-11   -8.3271367232e-10    3.5096906680e-10   -7.8716391454e-11    2.3699243358e-12   -2.7592825780e-11    1.1582517057e-12   -5.7395147084e-12
   0.1100000   -3.5542715616e-11   -8.6468591509e-10    3.7596160796e-10   -7.5376226917e-11    2.3900249716e-12   -2.7596598410e-11    1.1591053183e-12   -5.7397792670e-12
   0.1200000   -2.3165368871e-11   -8.8609484001e-10    4.0045790003e-10   -7.2515536280e-11    2.4130177200e-12   -2.7600700583e-11    1.1593981264e-12   -5.7393259884e-12
   0.1300000   -1.0313303790e-11   -8.9615408575e-10    4.2426521017e-10   -7.0271290476e-11    2.4389732978e-12   -2.7605748594e-11    1.1612475097e-12   -5.7396889168e-12
   0.1400000    2.7520604724e-12   -8.9412456474e-10    4.4716960926e-10   -6.8796402130e-11    2.4680727628e-12   -2.7610571339e-11    1.1615493607e-12   -5.7401400519e-12
   0.1500000    1.5739429407e-11   -8.7932726279e-10    4.6895022676e-10   -6.8237309175e-11    2.5000508704e-12   -2.7615515889e-11    1.1623283284e-12   -5.7387635485e-12
   0.1600000    2.8320050144e-11   -8.5118857536e-10    4.8939806481e-10   -6.8735210538e-11    2.5333493326e-12   -2.7622007603e-11    1.1624866204e-12   -5.7395142088e-12
   0.1700000    4.0154332801e-11   -8.0925006444e-10    5.0829484709e-10   -7.0437174779e-11    2.5692048068e-12   -2.7626327448e-11    1.1642658706e-12   -5.7393766733e-12
   0.1800000    5.0870813373e-11   -7.5318652059e-10    5.2540928328e-10   -7.3473636998e-11    2.6075492204e-12   -2.7632094944e-11    1.1640815091e-12   -5.7392807653e-12
   0.1900000    6.0091458463e-11   -6.8284399706e-10    5.4052796575e-10   -7.7980439275e-11    2.6466774270e-12   -2.7636029302e-11    1.1645266473e-12   -5.7388778663e-12
   0.2000000    6.7419061188e-11   -5.9827484943e-10    5.5344296918e-10   -8.4086425383e-11    2.6871725080e-12   -2.7639069110e-11    1.1653130459e-12   -5.7383436481e-12
   0.2100000    7.2450169949e-11   -4.9970054107e-10    5.6394100429e-10   -9.1909764517e-11    2.7279744902e-12   -2.7641207684e-11    1.1656311998e-12   -5.7396617573e-12
   0.2200000    7.4776802201e-11   -3.8759939837e-10    5.7181529967e-10   -1.0156045603e-10    2.7673992674e-12   -2.7641111486e-11    1.1659217226e-12   -5.7403362861e-12
   0.2300000    7.3992960747e-11   -2.6265045123e-10    5.7687120494e-10   -1.1314586224e-10    2.8066155474e-12   -2.7638522811e-11    1.1666529171e-12   -5.7391732858e-12
   0.2400000    6.9705399157e-11   -1.2578857929e-10    5.7892534785e-10   -1.2676342714e-10    2.8442105110e-12   -2.7633668375e-11    1.1678907327e-12   -5.7398101873e-12
   0.2500000    6.1529272611e-11    2.1822125663e-11    5.7780264047e-10   -1.4249741209e-10    2.8779332105e-12   -2.7625519428e-11    1.1678816093e-12   -5.7401842370e-12
   0.2600000    4.9121442189e-11    1.7876895884e-10    5.7334744301e-10   -1.6042284077e-10    2.9087601853e-12   -2.7612600425e-11    1.1694072345e-12   -5.7399477530e-12
   0.2700000    3.2180361413e-11    3.4342273896e-10    5.6540032941e-10   -1.8060775251e-10    2.9334038365e-12   -2.7596609981e-11    1.1689816284e-12   -5.7406724811e-12
   0.2800000    1.0467869122e-11    5.1393048100e-10    5.5384337181e-10   -2.0310400811e-10    2.9512720154e-12   -2.7573422110e-11    1.1698146802e-12   -5.7403596913e-12
   0.2900000   -1.6143718127e-11    6.8824371872e-10    5.3854847847e-10   -2.2795102023e-10    2.9606783476e-12   -2.7546865363e-11    1.1710148599e-12   -5.7406695616e-12
   0.3000000   -4.7693839173e-11    8.6412814192e-10    5.1943094545e-10   -2.5517865040e-10    2.9625084790e-12   -2.7513797963e-11    1.1713640277e-12   -5.7384926621e-12
   0.3100000   -8.4056779061e-11    1.0392074933e-09    4.9640324853e-10   -2.8480088133e-10    2.9527786819e-12   -2.7473427838e-11    1.1717270919e-12   -5.7404430099e-12
   0.3200000   -1.2493698365e-10    1.2109683518e-09    4.6941294450e-10   -3.1682272690e-10    2.9305316332e-12   -2.7425328107e-11    1.1726895269e-12   -5.7402897750e-12
