#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000   -1.6895668916e-03    1.4269334890e-11   -2.5385360143e-04    1.6281542387e-14   -5.7246141715e-05   -1.5783390627e-13
   0.0200000   -1.6888560783e-03    1.4190015759e-11   -2.5369602905e-04    1.5525068183e-14   -5.7233346722e-05   -1.5945155847e-13
   0.0300000   -1.6881548574e-03    1.3979880885e-11   -2.5355119708e-04    1.5407283376e-14   -5.7220689274e-05   -1.6229973210e-13
   0.0400000   -1.6874511657e-03    1.3653109581e-11   -2.5341730512e-04    1.7976501993e-14   -5.7208168021e-05   -1.6640481799e-13
   0.0500000   -1.6867308120e-03    1.3232489620e-11   -2.5329188748e-04    1.6506956808e-14   -5.7195775717e-05   -1.7157643098e-13
   0.0600000   -1.6859795918e-03    1.2739843519e-11   -2.5317191463e-04    1.6230386199e-14   -5.7183499963e-05   -1.7770465062e-13
   0.0700000   -1.6851854096e-03    1.2198980193e-11   -2.5305395077e-04    1.7088803616e-14   -5.7171323375e-05   -1.8443488863e-13
   0.0800000   -1.6843401467e-03    1.1648990584e-11   -2.5293432294e-04    1.6652361359e-14   -5.7159223936e-05   -1.9151141087e-13
   0.0900000   -1.6834410462e-03    1.1127697381e-11   -2.5280929537e-04    1.6881597707e-14   -5.7147175306e-05   -1.9867433156e-13
   0.1000000   -1.6824914464e-03    1.0684325638e-11   -2.5267524143e-04    1.6652216739e-14   -5.7135147320e-05   -2.0528983890e-13
   0.1100000   -1.6815007730e-03    1.0354616294e-11   -2.5252880657e-04    1.6729181817e-14   -5.7123106397e-05   -2.1027255905e-13
   0.1200000   -1.6804837902e-03    1.0190288302e-11   -2.5236705521e-04    1.5146764135e-14   -5.7111016181e-05   -2.1410113633e-13
   0.1300000   -1.6794591978e-03    1.0208719309e-11   -2.5218759843e-04    1.6858750507e-14   -5.7098837999e-05   -2.1538205907e-13
   0.1400000   -1.6784477380e-03    1.0420294183e-11   -2.5198869573e-04    1.6210607971e-14   -5.7086531602e-05   -2.1385672829e-13
   0.1500000   -1.6774700341e-03    1.0815569340e-11   -2.5176932917e-04    1.5383699167e-14   -5.7074055699e-05   -2.1028067189e-13
   0.1600000   -1.6765444100e-03    1.1351315030e-11   -2.5152924764e-04    1.4470368270e-14   -5.7061368680e-05   -2.0285839773e-13
   0.1700000   -1.6756849426e-03    1.1968498854e-11   -2.5126898065e-04    1.6713981360e-14   -5.7048429203e-05   -1.9225443409e-13
   0.1800000   -1.6748999645e-03    1.2601374903e-11   -2.5098982218e-04    1.5682057919e-14   -5.7035196898e-05   -1.7944511530e-13
   0.1900000   -1.6741911837e-03    1.3162432568e-11   -2.5069378582e-04    1.4624711081e-14   -5.7021633033e-05   -1.6495958853e-13
   0.2000000   -1.6735535123e-03    1.3588692203e-11   -2.5038353464e-04    1.4715227242e-14   -5.7007701127e-05   -1.4869444344e-13
   0.2100000   -1.6729756106e-03    1.3819187987e-11   -2.5006228868e-04    1.6917319673e-14   -5.6993367631e-05   -1.3163833327e-13
   0.2200000   -1.6724410791e-03    1.3832885967e-11   -2.4973371449e-04    1.8590728148e-14   -5.6978602543e-05   -1.1577431120e-13
   0.2300000   -1.6719301523e-03    1.3624783417e-11   -2.4940180136e-04    1.5552529011e-14   -5.6963380064e-05   -1.0140392658e-13
   0.2400000   -1.6714217026e-03    1.3228130768e-11   -2.4907072936e-04    1.3891993847e-14   -5.6947679169e-05   -9.0173115401e-14
   0.2500000   -1.6708953311e-03    1.2693952638e-11   -2.4874473375e-04    1.6216398828e-14   -5.6931484254e-05   -8.2561410155e-14
   0.2600000   -1.6703333188e-03    1.2092554912e-11   -2.4842797132e-04    1.6693818178e-14   -5.6914785615e-05   -7.9637005293e-14
   0.2700000   -1.6697222360e-03    1.1504685507e-11   -2.4812439260e-04    1.4200257763e-14   -5.6897580061e-05   -8.0717706004e-14
   0.2800000   -1.6690540489e-03    1.1011035046e-11   -2.4783762445e-04    1.4996402622e-14   -5.6879871337e-05   -8.4537178126e-14
   0.2900000   -1.6683266228e-03    1.0655766891e-11   -2.4757086671e-04    1.6939407645e-14   -5.6861670666e-05   -9.2880177623e-14
   0.3000000   -1.6675435880e-03    1.0486865116e-11   -2.4732680518e-04    1.5572436804e-14   -5.6842997031e-05   -1.0131203834e-13
