# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    3.1489536943e-03    1.3529152001e-13    8.0572726081e-04   -8.4672753357e-09    2.8794787020e-04   -4.5116894151e-13    1.6419364367e-04   -8.9251187919e-14
   0.0600000    3.1417629920e-03   -1.9644061119e-12    8.0445031489e-04   -3.0132995511e-08    2.8763045650e-04   -4.4110789495e-13    1.6403985566e-04   -1.9794873779e-14
   0.1100000    3.1344862092e-03   -3.0355425785e-12    8.0317137545e-04   -1.9692349618e-08    2.8730511425e-04   -3.9255201321e-13    1.6388634661e-04    3.6874051566e-14
   0.1600000    3.1273322102e-03   -3.0173100697e-12    8.0190104142e-04    1.1915969848e-08    2.8697715680e-04   -3.2394651672e-13    1.6374025033e-04    8.6605054758e-14
   0.2100000    3.1203056031e-03   -2.4663114495e-12    8.0064080332e-04    5.0864873087e-08    2.8665311282e-04   -2.6056523785e-13    1.6360422565e-04    1.3236130128e-13
   0.2600000    3.1131741032e-03   -2.1593826703e-12    7.9937655193e-04    8.6439792832e-08    2.8633823746e-04   -2.4371811002e-13    1.6347812724e-04    1.7986862497e-13
   0.3100000    3.1056675589e-03   -2.6205035524e-12    7.9808165759e-04    1.1424571153e-07    2.8603454113e-04   -2.9738606983e-13    1.6336065763e-04    2.3284306859e-13
   0.3600000    3.0977086733e-03   -3.8853268427e-12    7.9672981996e-04    1.3571222839e-07    2.8573986534e-04   -4.1164358845e-13    1.6325042409e-04    2.9806378243e-13
   0.4100000    3.0894684915e-03   -5.5273335064e-12    7.9531337791e-04    1.5483457287e-07    2.8544824950e-04   -5.4634979891e-13    1.6314632063e-04    3.8316494088e-13
   0.4600000    3.0812178820e-03   -6.9884699560e-12    7.9385581455e-04    1.7424066429e-07    2.8515144654e-04   -6.3205831692e-13    1.6304745440e-04    4.9720982678e-13
   0.5100000    3.0731228956e-03   -7.8736343074e-12    7.9240418675e-04    1.9269034735e-07    2.8484111825e-04   -6.3512193653e-13    1.6295289190e-04    6.5399452423e-13
   0.5600000    3.0651532190e-03   -8.2009636770e-12    7.9099893214e-04    2.0513283131e-07    2.8451106289e-04   -5.5407344277e-13    1.6286143489e-04    8.5332696521e-13
   0.6100000    3.0571518173e-03   -8.2616912548e-12    7.8964233975e-04    2.0508019373e-07    2.8415884452e-04   -4.4399905465e-13    1.6277153306e-04    1.0995862854e-12
   0.6600000    3.0489807281e-03   -8.4546449914e-12    7.8829769566e-04    1.8801907180e-07    2.8378639018e-04   -3.7101595075e-13    1.6268134982e-04    1.3863259700e-12
   0.7100000    3.0406181031e-03   -9.0213316056e-12    7.8692577288e-04    1.5425506610e-07    2.8339942959e-04   -3.7960376695e-13    1.6258893710e-04    1.7032093570e-12
   0.7600000    3.0321411104e-03   -9.9713354509e-12    7.8552236655e-04    1.0988452562e-07    2.8300598027e-04   -4.7822304760e-13    1.6249244961e-04    2.0375755691e-12
   0.8100000    3.0236270132e-03   -1.1098253162e-11    7.8411238899e-04    6.5320778910e-08    2.8261432900e-04   -6.0988614772e-13    1.6239033256e-04    2.3788202633e-12
   0.8600000    3.0150689635e-03   -1.2127272376e-11    7.8270308175e-04    3.1834000202e-08    2.8223106702e-04   -7.0664814060e-13    1.6228143783e-04    2.7124091724e-12
   0.9100000    3.0063860562e-03   -1.2909593195e-11    7.8125059261e-04    1.7557107025e-08    2.8185967977e-04   -7.1932745428e-13    1.6216505345e-04    3.0196900923e-12
   0.9600000    2.9975166634e-03   -1.3469642126e-11    7.7968630804e-04    2.4740242512e-08    2.8150000152e-04   -6.5315606988e-13    1.6204085680e-04    3.2869523479e-12
   1.0100000    2.9884977830e-03   -1.3960495041e-11    7.7798763277e-04    4.9376057870e-08    2.8114859029e-04   -5.5308177089e-13    1.6190881869e-04    3.5037174385e-12
   1.0600000    2.9794417847e-03   -1.4476017033e-11    7.7622870645e-04    8.3096091855e-08    2.8079983481e-04   -4.7670914005e-13    1.6176909188e-04    3.6646345389e-12
   1.1100000    2.9704270270e-03   -1.5098772694e-11    7.7455497419e-04    1.1624999100e-07    2.8044744197e-04   -4.7502838866e-13    1.6162191261e-04    3.7669537272e-12
