# time  Re(R=10)  Im(R=10)  Re(R=14)  Im(R=14)  Re(R=18)  Im(R=18)  Re(R=22)  Im(R=22)
0.0000000000000000e+00 3.0579229279713079e-10 -8.5369172210478380e-18 4.3477292511806993e-07 4.4140553222477730e-17 -2.0006023940861869e-13 -6.4649972905263466e-17 -5.4593974908810068e-08 -1.0923253782999032e-17
1.0000000000000000e+00 -3.7620676914633647e-08 -9.3872913650069381e-15 2.2735981302901750e-07 -4.6090245601359658e-15 8.5085756082521852e-10 7.5627060964137185e-16 -7.2437645227381256e-08 3.9542450895665202e-15
2.0000000000000000e+00 -3.6030151438061463e-08 -1.3640603671473333e-14 3.0298077549470741e-07 -2.1306205728558820e-14 3.8465077261649585e-09 2.8327845319221710e-15 -6.6080122475985029e-08 -4.1572518310005177e-15
2.9999999999999800e+00 6.3899069420569389e-08 9.3121108536521834e-16 9.9546354671331233e-08 -7.1259342407289235e-15 -1.3721003403704527e-09 -3.0314125239723300e-15 2.7930650951587741e-08 1.0877382391980949e-14
3.9999999999999600e+00 2.2670062180855368e-07 -5.0141368411972531e-14 1.9861106478985146e-08 2.0221333944153559e-14 -3.9557875374650679e-08 4.6460643208373155e-15 -8.4928893777262434e-08 6.7768512409158133e-15
4.9999999999999396e+00 1.2631887569746877e-07 -2.0215091450233812e-14 -4.0392636159553975e-08 2.8157335020432580e-14 3.0920453286704556e-08 -7.3879491692308249e-15 -8.5395738632868655e-08 2.0895599271134656e-14
5.9999999999999201e+00 3.4970660990646772e-07 1.8462475328202204e-14 8.0004335617118457e-09 -2.6658365525365101e-14 -3.9177444170470373e-08 1.3608457669407698e-15 -1.5313624931203802e-08 2.7266999378342699e-15
6.9999999999998996e+00 2.3035359373203325e-06 1.7662688171538668e-14 2.5543851007498503e-07 -3.6426122861282382e-15 4.3387759705971949e-08 -1.1840362699024871e-14 3.5467790726335626e-08 -2.0179829563975412e-15
7.9999999999998703e+00 -8.2715872498782261e-06 -6.6443638813881434e-14 1.0132922527839243e-07 4.2366667463865258e-14 -1.4457034951567440e-07 -2.0098023972875491e-14 -3.5978577424936863e-08 4.6685998773713415e-14
8.9999999999998508e+00 -2.4903311240290263e-05 -2.1899632745096370e-14 1.0469428201668965e-07 1.1368038497344205e-15 -3.5007712974515006e-07 3.9082538312036626e-15 7.3582423741702748e-08 -2.3793883843971618e-14
9.9999999999998295e+00 3.8552219293943579e-05 -1.4573231767327211e-14 3.7875894584916383e-06 2.1865073667336273e-14 6.5255214815824975e-07 -7.4906231440037654e-15 -4.1753492884482717e-08 6.0655399340993563e-15
1.0999999999999799e+01 -1.9645072326753465e-05 3.8615730112740810e-14 -1.1653120232673754e-04 6.0720418472015825e-14 3.4116314046993322e-07 1.2747498528854123e-15 -2.4373839188227267e-07 8.1434003844381950e-15
1.1999999999999799e+01 -8.9389528042936925e-05 1.3338305699468139e-14 4.5512578193539935e-05 9.5626416465818913e-14 1.7375490673018802e-07 6.6651861976926391e-15 3.0630167949370304e-07 -3.1843017425590054e-14
