# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time                  xA                  yA                  zA            chiA_pit                  nA                  xB                  yB                  zB            chiB_pit                  nB
   0.0000000    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4434950348e-08    8.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   0.0500000    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.6216837284e-08    8.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   0.1000000    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.7981636429e-08    8.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   0.1500000    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.9730386312e-08    8.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   0.2000000    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.1464028268e-08    8.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   0.2500000    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.3183417744e-08    8.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   0.3000000    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.4889334074e-08    8.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   0.3500000    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.6582488936e-08    8.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   0.4000000    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.8263533745e-08    8.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   0.4500000    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    3.9933066095e-08    8.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   0.5000000    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.1591635400e-08    8.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
