# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
   0.0000000    2.0188051901e-01    3.4750682678e-07    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0441482811e-01    9.0441482811e-01    0.0000000000e+00    0.0000000000e+00
   0.0500000    2.0193253327e-01    3.6644477823e-07    3.3496965871e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0424277613e-01    9.0424277613e-01   -5.4582807186e-06    5.4582807188e-06
   0.1000000    2.0198304442e-01    3.8525300288e-07    6.2787911397e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0407568307e-01    9.0407568307e-01   -1.0920148143e-05    1.0920148144e-05
   0.1500000    2.0203212093e-01    4.0393535165e-07    8.8626766675e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0391330792e-01    9.0391330792e-01   -1.6386524106e-05    1.6386524107e-05
   0.2000000    2.0207982514e-01    4.2249531186e-07    1.1159487907e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0375542893e-01    9.0375542893e-01   -2.1858560483e-05    2.1858560484e-05
   0.2500000    2.0212621141e-01    4.4093573189e-07    1.3220567207e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0360184925e-01    9.0360184925e-01   -2.7342404229e-05    2.7342404228e-05
   0.3000000    2.0217132340e-01    4.5925841663e-07    1.5085309954e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0345240536e-01    9.0345240536e-01   -3.2847869832e-05    3.2847869831e-05
   0.3500000    2.0221519024e-01    4.7746358142e-07    1.6786238841e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0330697866e-01    9.0330697866e-01   -3.8379966823e-05    3.8379966824e-05
   0.4000000    2.0225782171e-01    4.9554917836e-07    1.8350884163e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0316550992e-01    9.0316550992e-01   -4.3961706997e-05    4.3961706998e-05
   0.4500000    2.0229920293e-01    5.1351017631e-07    1.9802555743e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0302801486e-01    9.0302801486e-01   -4.9571972316e-05    4.9571972317e-05
   0.5000000    2.0233928936e-01    5.3133788435e-07    2.1160560269e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.0289459880e-01    9.0289459880e-01   -5.5821879603e-05    5.5821879603e-05
