# time  Re(R=14)  Im(R=14)  Re(R=30)  Im(R=30)
0.0000000000000000e+00  3.3879052176270454e-03  -2.9788454689039234e-17  1.6977804924945471e-04  -2.5955736481831932e-17
5.0000000000000000e-01  3.3677143735465578e-03  -2.3118781737087313e-15  1.7028860509765183e-04  6.8997186300967170e-16
1.0000000000000000e+00  3.3468125834357006e-03  1.8217916866909711e-14  1.7035475811957233e-04  -1.3206662427881193e-15
1.5000000000000000e+00  3.3251361775107455e-03  -1.4922023577716714e-14  1.7010884239506110e-04  1.5914965573432093e-15
2.0000000000000000e+00  3.3032909381259185e-03  -2.6318953526976996e-14  1.6970498075866855e-04  -6.4118276524782400e-17
2.4999999999999898e+00  3.2801682715182605e-03  8.5837709011028773e-15  1.6922638030798117e-04  1.4365276444782988e-15
2.9999999999999800e+00  3.2567624949710380e-03  -1.6148378207542224e-15  1.6872014446415567e-04  1.7232938251447944e-15
3.4999999999999698e+00  3.2314515416097429e-03  -2.1218060132239397e-14  1.6824654341037972e-04  2.8295135603029903e-16
3.9999999999999600e+00  3.2042707610400317e-03  -5.1816779762358517e-14  1.6777410774721673e-04  6.5887834230715040e-16
4.4999999999999503e+00  3.1731175176731964e-03  1.0758897299543296e-14  1.6727604104236932e-04  6.4359680914749876e-16
4.9999999999999396e+00  3.1369186969725550e-03  8.3194220826601772e-16  1.6675908372048375e-04  2.9107016682973150e-15
5.4999999999999298e+00  3.0925169987256551e-03  -4.1870566529992465e-14  1.6624102336135956e-04  7.0902375157578905e-16
5.9999999999999201e+00  3.0376349205878074e-03  -1.1732358384504774e-14  1.6571646808519761e-04  9.5403650189856797e-16
6.4999999999999103e+00  2.9698242084807746e-03  -3.8633111737896436e-14  1.6515548194803161e-04  2.4925447956439164e-15
6.9999999999998996e+00  2.8831061083414780e-03  -4.0502289835788602e-14  1.6458066051252393e-04  -1.0621920213511014e-15
7.4999999999998801e+00  2.7717192556169813e-03  2.2210850509057217e-14  1.6401326840355943e-04  1.1745594121338569e-15
7.9999999999998703e+00  2.6284415978101894e-03  8.1559318489392990e-14  1.6343362420853777e-04  -9.2304780152326939e-16
8.4999999999998597e+00  2.4467632041808144e-03  -1.1540915385898146e-14  1.6282052729691250e-04  1.5206570743819640e-16
8.9999999999998508e+00  2.2180326093261846e-03  -1.5910260305410096e-14  1.6219892909750741e-04  -1.7818629770738770e-15
9.4999999999998401e+00  1.9319568527368229e-03  -6.8435417109689173e-15  1.6161199547183762e-04  2.3796120103688687e-15
9.9999999999998295e+00  1.5866877667371064e-03  2.8007977881383539e-14  1.6101438533348519e-04  1.6624567424994383e-15
1.0499999999999799e+01  1.1680318149770370e-03  -2.3601041639672443e-14  1.6038180826712952e-04  5.1521414291453259e-16
1.0999999999999799e+01  6.7625743955886412e-04  -4.5458699738515351e-15  1.5975019237672635e-04  -4.5099422243607967e-16
1.1499999999999799e+01  1.1080374734666565e-04  3.1078086068156430e-14  1.5916558298020717e-04  9.8135331444751915e-16
1.1999999999999799e+01  -5.2916166831856368e-04  -9.1371815712573690e-16  1.5859635314973656e-04  -2.5064541354290161e-15
1.2499999999999799e+01  -1.2451005717037846e-03  -2.8060914052455144e-15  1.5797380453260034e-04  3.2543852866457473e-15
1.2999999999999799e+01  -2.0109746959017859e-03  -2.5678786354232930e-15  1.5734841342948406e-04  -5.1844769119067588e-17
1.3499999999999799e+01  -2.8318481241152191e-03  1.7451623100187691e-14  1.5682110221285834e-04  6.6112403840855836e-16
1.3999999999999700e+01  -3.7039583771859529e-03  1.1411065235084061e-14  1.5637762745312908e-04  3.5207400908657824e-15
1.4499999999999700e+01  -4.5630815766131653e-03  -5.5543894136866889e-14  1.5589471570834890e-04  2.8829385752642792e-15
1.4999999999999700e+01  -5.4137006863845772e-03  1.0376106170020133e-14  1.5553531103449476e-04  1.9589537435431097e-15
1.5499999999999700e+01  -6.2486969996486622e-03  -5.3550202195728341e-14  1.5526898658326511e-04  1.0814884906807385e-15
1.5999999999999700e+01  -7.0282860089127507e-03  -5.9880248817149179e-14  1.5491635908447760e-04  -9.2538878883124346e-17
1.6499999999999801e+01  -7.7717892397293677e-03  -4.1293438937314852e-14  1.5441909364506416e-04  9.9839773492864381e-17
1.6999999999999901e+01  -8.4271818956136967e-03  1.9021920540443493e-15  1.5377645027974624e-04  5.0692206093782741e-15
1.7499999999999901e+01  -9.0023169629114708e-03  -4.8925876642170324e-15  1.5305439732841622e-04  4.9505369997869617e-17
1.8000000000000000e+01  -9.4535086111881723e-03  8.2623591670695495e-15  1.5224196067519104e-04  -9.4641161718650316e-16
1.8500000000000099e+01  -9.8096180496345491e-03  8.3961048224080563e-15  1.5139206923880911e-04  -1.4504592188782639e-15
1.9000000000000199e+01  -1.0041021494199108e-02  -5.5516406223662593e-14  1.5046491820942028e-04  8.5982764462037256e-16
1.9500000000000199e+01  -1.0142336655447453e-02  -5.1351880647060311e-15  1.4910426930821798e-04  3.8674198235673308e-15
2.0000000000000298e+01  -1.0114316750820425e-02  3.8289216361311190e-14  1.4691181416797702e-04  2.3982096775170209e-15
2.0500000000000401e+01  -9.9684310626556704e-03  4.1688657734240131e-15  1.4384279265654539e-04  -1.0156279732625724e-15
2.1000000000000501e+01  -9.7180203565453618e-03  2.5104172755342768e-14  1.4013670753980527e-04  2.6004160296635276e-15
2.1500000000000600e+01  -9.3198432557180504e-03  -2.9635433104920061e-14  1.3546650370281364e-04  3.9497966893635677e-15
2.2000000000000600e+01  -8.7763482685269227e-03  -6.1316687946684489e-14  1.2942372873722455e-04  3.3106388622552736e-15
2.2500000000000700e+01  -8.1744809878217892e-03  -2.0809038086405662e-14  1.2172343329196970e-04  4.2245768244308229e-19
2.3000000000000799e+01  -7.4601421024060874e-03  -2.4191450708963003e-14  1.1200957312090210e-04  -1.2842427672650003e-15
2.3500000000000899e+01  -6.6692574184995888e-03  1.1456582752790434e-13  9.8975029009366829e-05  5.5248380435195862e-15
2.4000000000000998e+01  -5.8648254949503955e-03  5.7028383751434042e-14  8.0095013486671833e-05  2.2171913251504884e-15
2.4500000000000998e+01  -4.9483194639326853e-03  -3.6610959489730144e-14  5.4296143339838869e-05  3.5313936477598734e-15
2.5000000000001101e+01  -4.0151163329620607e-03  1.9519975913429022e-15  1.9539012959819494e-05  -5.8257517919875967e-15
2.5500000000001201e+01  -3.0532665273664129e-03  4.5414491394932255e-14  -2.4563977615290656e-05  1.9752342461849294e-15
2.6000000000001300e+01  -2.0856457371826375e-03  1.9894323818533954e-14  -8.3143144252906237e-05  3.2865714798502267e-15
2.6500000000001300e+01  -1.0971866897982493e-03  4.0308902049535078e-14  -1.5770699230047657e-04  8.3535448049403167e-16
2.7000000000001400e+01  -1.4594575441563085e-04  3.1378437174989227e-14  -2.5313801533069058e-04  1.8031383271265369e-15
2.7500000000001499e+01  7.9824191449379416e-04  7.5766270427740645e-14  -3.7319577263109587e-04  1.0312223792171161e-15
2.8000000000001599e+01  1.7274570630612688e-03  -9.4319734314507464e-14  -5.2242114674359743e-04  4.4987613894570400e-16
2.8500000000001702e+01  2.6362774182200682e-03  -1.1325399710930550e-13  -7.0559912961656000e-04  6.4005578791150215e-15
2.9000000000001702e+01  3.4569856222181204e-03  1.4672047214323025e-13  -9.2826217363701548e-04  4.0975599988253043e-15
2.9500000000001801e+01  4.2432588607604167e-03  -1.0183021960374905e-13  -1.1938764789220968e-03  -2.1709877954601345e-15
3.0000000000001901e+01  4.9435527857500982e-03  2.2056111819747370e-13  -1.5055528942947585e-03  5.3461416202197146e-15
3.0500000000002000e+01  5.5712329920242125e-03  9.6591625756842214e-14  -1.8644313807278027e-03  -4.3278724923484849e-15
