# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time          separation                  xA                  yA                  zA            chiA_min          lapseA_min                  xB                  yB                  zB            chiB_min          lapseB_min             theta_A              ah_r_A             theta_B              ah_r_B        theta_common         ah_r_common
   0.0000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.4434950348e-08    2.1358089105e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.4434950348e-08    2.1358089105e-01    1.1361797774e-01    0.0000000000e+00    1.1361797774e-01    0.0000000000e+00    1.0733945962e-01    0.0000000000e+00
   0.0500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.6216837284e-08    2.1363652420e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.6216837284e-08    2.1363652420e-01    1.1361797868e-01    0.0000000000e+00    1.1361797868e-01    0.0000000000e+00    1.0733945928e-01    0.0000000000e+00
   0.1000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.7981636429e-08    2.1368905443e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.7981636429e-08    2.1368905443e-01    1.1361797935e-01    0.0000000000e+00    1.1361797935e-01    0.0000000000e+00    1.0733945914e-01    0.0000000000e+00
   0.1500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.9730386312e-08    2.1373877192e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.9730386312e-08    2.1373877192e-01    1.1361797977e-01    0.0000000000e+00    1.1361797977e-01    0.0000000000e+00    1.0733945915e-01    0.0000000000e+00
   0.2000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.1464028267e-08    2.1378593229e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.1464028267e-08    2.1378593229e-01    1.1361797999e-01    0.0000000000e+00    1.1361797999e-01    0.0000000000e+00    1.0733945930e-01    0.0000000000e+00
   0.2500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.3183417743e-08    2.1383076131e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.3183417743e-08    2.1383076131e-01    1.1361798002e-01    0.0000000000e+00    1.1361798002e-01    0.0000000000e+00    1.0733945956e-01    0.0000000000e+00
   0.3000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.4889334072e-08    2.1387345901e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.4889334072e-08    2.1387345901e-01    1.1361797989e-01    0.0000000000e+00    1.1361797989e-01    0.0000000000e+00    1.0733945991e-01    0.0000000000e+00
   0.3500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.6582488934e-08    2.1391420303e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.6582488934e-08    2.1391420303e-01    1.1361797958e-01    0.0000000000e+00    1.1361797958e-01    0.0000000000e+00    1.0733946032e-01    0.0000000000e+00
   0.4000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.8263533744e-08    2.1395315158e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.8263533744e-08    2.1395315158e-01    1.1361797920e-01    0.0000000000e+00    1.1361797920e-01    0.0000000000e+00    1.0733946080e-01    0.0000000000e+00
   0.4500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.9933066094e-08    2.1399044592e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.9933066094e-08    2.1399044592e-01    1.1361797955e-01    0.0000000000e+00    1.1361797955e-01    0.0000000000e+00    1.0733946132e-01    0.0000000000e+00
   0.5000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    4.1591635398e-08    2.1402621246e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    4.1591635398e-08    2.1402621246e-01    1.1361797798e-01    0.0000000000e+00    1.1361797798e-01    0.0000000000e+00    1.0733946188e-01    0.0000000000e+00
   0.5500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    4.3239747845e-08    2.1406056462e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    4.3239747845e-08    2.1406056462e-01    1.1361797074e-01    0.0000000000e+00    1.1361797074e-01    0.0000000000e+00    1.0733946246e-01    0.0000000000e+00
   0.6000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    4.4877870755e-08    2.1409360438e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    4.4877870755e-08    2.1409360438e-01    1.1361796656e-01    0.0000000000e+00    1.1361796656e-01    0.0000000000e+00    1.0733946306e-01    0.0000000000e+00
   0.6500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    4.6506436417e-08    2.1412542364e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    4.6506436417e-08    2.1412542364e-01    1.1361796559e-01    0.0000000000e+00    1.1361796559e-01    0.0000000000e+00    1.0733946366e-01    0.0000000000e+00
   0.7000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    4.8125845490e-08    2.1415610539e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    4.8125845490e-08    2.1415610539e-01    1.1361795801e-01    0.0000000000e+00    1.1361795801e-01    0.0000000000e+00    1.0733946427e-01    0.0000000000e+00
   0.7500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    4.9736470001e-08    2.1418572476e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    4.9736470001e-08    2.1418572476e-01    1.1361795067e-01    0.0000000000e+00    1.1361795067e-01    0.0000000000e+00    1.0733946487e-01    0.0000000000e+00
   0.8000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    5.1338656021e-08    2.1421434987e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    5.1338656021e-08    2.1421434987e-01    1.1361795102e-01    0.0000000000e+00    1.1361795102e-01    0.0000000000e+00    1.0733946547e-01    0.0000000000e+00
   0.8500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    5.2932726033e-08    2.1424204261e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    5.2932726033e-08    2.1424204261e-01    1.1361795599e-01    0.0000000000e+00    1.1361795599e-01    0.0000000000e+00    1.0733946605e-01    0.0000000000e+00
   0.9000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    5.4518981055e-08    2.1426885935e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    5.4518981055e-08    2.1426885935e-01    1.1361795742e-01    0.0000000000e+00    1.1361795742e-01    0.0000000000e+00    1.0733946662e-01    0.0000000000e+00
   0.9500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    5.6097702525e-08    2.1429485148e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    5.6097702525e-08    2.1429485148e-01    1.1361795267e-01    0.0000000000e+00    1.1361795267e-01    0.0000000000e+00    1.0733946718e-01    0.0000000000e+00
   1.0000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    5.7669153998e-08    2.1432006598e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    5.7669153998e-08    2.1432006598e-01    1.1361795196e-01    0.0000000000e+00    1.1361795196e-01    0.0000000000e+00    1.0733946771e-01    0.0000000000e+00
   1.0500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    5.9233582664e-08    2.1434454585e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    5.9233582664e-08    2.1434454585e-01    1.1361795822e-01    0.0000000000e+00    1.1361795822e-01    0.0000000000e+00    1.0733946824e-01    0.0000000000e+00
   1.1000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    6.0791220706e-08    2.1436833051e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    6.0791220706e-08    2.1436833051e-01    1.1361796135e-01    0.0000000000e+00    1.1361796135e-01    0.0000000000e+00    1.0733946890e-01    0.0000000000e+00
   1.1500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    6.2342286536e-08    2.1439145617e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    6.2342286536e-08    2.1439145617e-01    1.1361795750e-01    0.0000000000e+00    1.1361795750e-01    0.0000000000e+00    1.0733946847e-01    0.0000000000e+00
