# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            10.000000           10.000000           14.000000           14.000000           18.000000           18.000000
   0.0100000   -2.1392078966e-10    6.2215217288e-08   -5.6900128228e-10    4.9618700315e-10   -1.2226300995e-10    6.5966189489e-11
   0.0600000   -1.9268142430e-10    5.0488016768e-08   -5.3595592422e-10    5.5863002965e-10   -1.9732320140e-10    5.5378362533e-11
   0.1100000   -1.8779208728e-10    2.4969385345e-09   -4.8343277296e-10    5.8753014997e-10   -1.1967875108e-10    6.6191929288e-11
   0.1600000   -2.1291564675e-10   -6.1721126694e-08   -4.5332299172e-10    6.1521659220e-10    2.8167181350e-10    1.2182633384e-10
   0.2100000   -2.0180482929e-10   -6.3679183188e-08   -4.7815770096e-10    6.7269533329e-10    6.1753575989e-10    1.6731684043e-10
   0.2600000   -1.7424729323e-10   -2.1928801174e-08   -5.4436623635e-10    7.8817938199e-10    3.0149134574e-10    1.2112416419e-10
   0.3100000   -1.8210368929e-10   -1.8568810887e-08   -6.0172973836e-10    9.6038249430e-10   -6.4341920933e-10   -1.1554416785e-11
   0.3600000   -2.0314459731e-10   -5.3565907952e-08   -6.1519756146e-10    1.1245506445e-09   -1.3462494177e-09   -1.0702586956e-10
   0.4100000   -2.1345678219e-10   -7.3895282444e-08   -5.9485626300e-10    1.1763237090e-09   -8.8159894850e-10   -3.6900281509e-11
   0.4600000   -1.9902920986e-10   -8.1391113234e-08   -5.7158499949e-10    1.0554254696e-09    6.5027897697e-10    1.8032038074e-10
   0.5100000   -1.7574159878e-10   -1.0574804372e-07   -5.5868911725e-10    8.0370817912e-10    1.9852646330e-09    3.6361628343e-10
   0.5600000   -1.6782742577e-10   -1.3495110086e-07   -5.4774858853e-10    5.3397614373e-10    1.8290276515e-09    3.3213251503e-10
   0.6100000   -1.7722902172e-10   -1.3827304939e-07   -5.3132655407e-10    3.4833098782e-10    1.9680700147e-10    9.2715870831e-11
   0.6600000   -1.8914015821e-10   -1.2024938358e-07   -5.1445538579e-10    2.8908622840e-10   -1.4661228092e-09   -1.4518932663e-10
   0.7100000   -1.8335477940e-10   -1.1441091492e-07   -5.0566269852e-10    3.4781559931e-10   -1.6315846928e-09   -1.5988017442e-10
   0.7600000   -1.7324904424e-10   -1.3202308000e-07   -5.0725990888e-10    4.9447402409e-10   -2.0299548453e-10    6.3236763143e-11
   0.8100000   -1.8171107836e-10   -1.6191580110e-07   -5.1660367964e-10    6.9378150175e-10    1.3664272596e-09    3.0385706611e-10
   0.8600000   -1.9913913931e-10   -1.9539245004e-07   -5.2996235078e-10    9.1226091257e-10    1.5286416748e-09    3.1851010041e-10
   0.9100000   -1.9878337463e-10   -2.0755235433e-07   -5.4310824788e-10    1.1249889162e-09    2.0864670195e-10    9.6879418213e-11
   0.9600000   -1.7166739585e-10   -1.8693657408e-07   -5.5230280155e-10    1.3139208018e-09   -1.1306137009e-09   -1.1138601864e-10
   1.0100000   -1.2105210555e-10   -1.7208861453e-07   -5.5562274989e-10    1.4564891344e-09   -1.0078334173e-09   -6.2235572555e-11
   1.0600000   -2.5675778127e-11   -1.8973399962e-07   -5.5119971488e-10    1.5228253982e-09    5.3218323225e-10    1.9831489615e-10
   1.1100000    1.1467593892e-10   -2.2079504321e-07   -5.3620298063e-10    1.4964670804e-09    1.9421251277e-09    3.7361549448e-10
   1.1600000    1.6245698126e-10   -2.4180856120e-07   -5.1195914510e-10    1.3984519454e-09    1.7456717044e-09    2.6091318554e-10
   1.2100000   -1.5107309662e-10   -2.4742275686e-07   -4.8789891799e-10    1.2810213743e-09    5.4230617151e-11   -1.2530039803e-11
   1.2600000   -9.2601910041e-10   -2.4530628459e-07   -4.7356225814e-10    1.1911879524e-09   -1.5217173557e-09   -1.5716064355e-10
   1.3100000   -1.7020322107e-09   -2.4572361045e-07   -4.6803151647e-10    1.1434375151e-09   -1.4803929187e-09   -6.1739279717e-11
   1.3600000   -1.5680907159e-09   -2.5461880114e-07   -4.6561365209e-10    1.1298532920e-09    7.7967722298e-11    1.3560351854e-10
   1.4100000   -7.0852003443e-12   -2.7062762706e-07   -4.6985013814e-10    1.1450501593e-09    1.5891710905e-09    2.7632923581e-10
   1.4600000    2.2422023239e-09   -2.8603179520e-07   -4.8873154181e-10    1.1875461424e-09    1.6342796014e-09    3.3140099143e-10
   1.5100000    3.3711363787e-09   -2.9629796005e-07   -5.1399670775e-10    1.2410393561e-09    3.4231501980e-10    3.0191909524e-10
   1.5600000    1.9196792079e-09   -3.0229501004e-07   -5.2217376230e-10    1.2759728172e-09   -8.4904624085e-10    1.4055236435e-10
   1.6100000   -1.6279577669e-09   -3.0567080172e-07   -5.0723311864e-10    1.2799462158e-09   -7.5342776620e-10   -1.2001500179e-10
   1.6600000   -4.5900212405e-09   -3.0978760757e-07   -4.9511316588e-10    1.2709410980e-09    3.7862964535e-10   -2.8755603178e-10
   1.7100000   -4.0403054151e-09   -3.1864943801e-07   -5.0714654576e-10    1.2663069979e-09    1.2522964020e-09   -2.1088273161e-10
   1.7600000    8.2754407963e-11   -3.3193110492e-07   -5.2162388230e-10    1.2527694822e-09    9.5966581195e-10    1.6038085791e-11
   1.8100000    4.0040922126e-09   -3.4482225292e-07   -5.0055351045e-10    1.2132467009e-09   -1.2236854558e-10    2.0737809162e-10
   1.8600000    3.6606618708e-09   -3.5367505341e-07   -4.5185427401e-10    1.1774221846e-09   -8.2734948197e-10    3.7242926776e-10
   1.9100000   -4.2379748649e-10   -3.5901627434e-07   -4.2952779009e-10    1.2098667246e-09   -4.4305638006e-10    6.3202348900e-10
   1.9600000   -3.5202413497e-09   -3.6350448341e-07   -4.5893968822e-10    1.3334413472e-09    6.0136834949e-10    8.5668678805e-10
   2.0100000   -2.6204724095e-09   -3.6983836572e-07   -4.9529497523e-10    1.4934162420e-09    1.2232207211e-09    6.6033795910e-10
   2.0600000    2.6540870374e-10   -3.7899883328e-07   -4.8495389766e-10    1.6233525523e-09    7.9596958612e-10   -1.0194458609e-10
   2.1100000    1.8059413304e-09   -3.8963204732e-07   -4.4392448748e-10    1.7238680941e-09   -2.2110511105e-10   -1.0059759728e-09
   2.1600000    1.4484907434e-09   -3.9978816009e-07   -4.3393358421e-10    1.8383033884e-09   -7.5641683465e-10   -1.4087907430e-09
   2.2100000    2.4100645870e-10   -4.0826585581e-07   -4.6874372881e-10    1.9596270448e-09   -2.5053987176e-10   -1.0442772445e-09
   2.2600000   -1.2114944161e-09   -4.1469454763e-07   -4.9212906281e-10    2.0104942091e-09    7.2921771431e-10   -1.4865133073e-10
   2.3100000   -1.8359873396e-09   -4.1991637337e-07   -4.6206605725e-10    1.9330854194e-09    1.0933290153e-09    8.7014204186e-10
   2.3600000   -4.3641447437e-10   -4.2616660155e-07   -4.1400272776e-10    1.7615198927e-09    4.4569546595e-10    1.6694179427e-09
   2.4100000    1.6509787871e-09   -4.3518028282e-07   -4.0839665596e-10    1.5783234707e-09   -4.6248637326e-10    1.9501374207e-09
