# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  3.8896034876440622e+00  1.6095266918802558e+00
1.0000000000000000e+00  3.8896034672604216e+00  1.6095266918802558e+00
2.0000000000000000e+00  3.8896034347465016e+00  1.6095266918802558e+00
2.9999999999999800e+00  3.8896033313931295e+00  1.6095266918802558e+00
3.9999999999999600e+00  3.8896033103419594e+00  1.6095266918802558e+00
4.9999999999999396e+00  3.8896035795265189e+00  1.6095266918802558e+00
5.9999999999999201e+00  3.8896035526726691e+00  1.6095266918802558e+00
6.9999999999998996e+00  3.8896040188948549e+00  1.6095266918802558e+00
7.9999999999998703e+00  3.8896047512620107e+00  1.6095266918802558e+00
8.9999999999998508e+00  3.8896058427848144e+00  1.6095266918802558e+00
9.9999999999998295e+00  3.8896072178024319e+00  1.6095266918802558e+00
1.0999999999999799e+01  3.8896092088663439e+00  1.6095266918802558e+00
1.1999999999999799e+01  3.8896122379286839e+00  1.6095266918802558e+00
1.2999999999999799e+01  3.8896162675037860e+00  1.6095266918802558e+00
1.3999999999999700e+01  3.8896212969794992e+00  1.6095266918802558e+00
1.4999999999999700e+01  3.8896274490744607e+00  1.6095266918802558e+00
1.5999999999999700e+01  3.8896352914217704e+00  1.6095266918802558e+00
1.6999999999999901e+01  3.8896442619165552e+00  1.6095266918802558e+00
1.8000000000000000e+01  3.8896554927212907e+00  1.6095266918802558e+00
1.9000000000000199e+01  3.8896688111552931e+00  1.6095266918802558e+00
2.0000000000000298e+01  3.8896844052244735e+00  1.6095266918802558e+00
2.1000000000000501e+01  3.8897032067745396e+00  1.6095266918802558e+00
2.2000000000000600e+01  3.8897258615799180e+00  1.6095266918802558e+00
2.3000000000000799e+01  3.8897526598916974e+00  1.6095266918802558e+00
2.4000000000000998e+01  3.8897845656527976e+00  1.6095266918802558e+00
2.5000000000001101e+01  3.8898227019877396e+00  1.6095266918802558e+00
2.6000000000001300e+01  3.8898680584644936e+00  1.6095266918802558e+00
2.7000000000001400e+01  3.8899220474784384e+00  1.6095266918802558e+00
2.8000000000001599e+01  3.8899861845418457e+00  1.6095266918802558e+00
