# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -1.1503242852e-03   -6.3030045757e-13   -1.5671676677e-04   -5.5004528657e-09   -3.4315573029e-05   -1.0211425142e-13   -1.4448099488e-05   -1.1038086303e-13
   0.0600000   -1.1485839252e-03    1.1899170879e-12   -1.5658255121e-04   -1.9572881948e-08   -3.4284042117e-05   -9.6867852115e-14   -1.4404021083e-05   -1.7146103449e-13
   0.1100000   -1.1467862514e-03    2.1170072638e-12   -1.5644193358e-04   -1.2791620575e-08   -3.4265515750e-05   -6.5259245355e-14   -1.4390076721e-05   -2.2684149966e-13
   0.1600000   -1.1445493466e-03    2.1066086199e-12   -1.5628492210e-04    7.7384107428e-09   -3.4244734142e-05   -2.2058434292e-14   -1.4394612716e-05   -2.7536167142e-13
   0.2100000   -1.1417859515e-03    1.6406714883e-12   -1.5611336616e-04    3.3036244329e-08   -3.4203295050e-05    1.9585092859e-14   -1.4411687852e-05   -3.0342099680e-13
   0.2600000   -1.1388254252e-03    1.3728507392e-12   -1.5594408253e-04    5.6142566177e-08   -3.4126816776e-05    2.8880100284e-14   -1.4439601789e-05   -3.0310984822e-13
   0.3100000   -1.1361669689e-03    1.7707640754e-12   -1.5579619210e-04    7.4202737872e-08   -3.4010486804e-05   -3.5584881677e-15   -1.4478468802e-05   -2.5923859246e-13
   0.3600000   -1.1341194010e-03    2.8566396641e-12   -1.5567399649e-04    8.8145326301e-08   -3.3861516883e-05   -7.8102589295e-14   -1.4528224963e-05   -1.6401242976e-13
   0.4100000   -1.1326168045e-03    4.2891578979e-12   -1.5556121256e-04    1.0056533947e-07   -3.3697877075e-05   -1.6533943777e-13   -1.4587505301e-05   -4.9180892397e-15
   0.4600000   -1.1313042093e-03    5.5596142900e-12   -1.5543236973e-04    1.1316967778e-07   -3.3543801859e-05   -2.2116777116e-13   -1.4653344380e-05    2.2276814801e-13
   0.5100000   -1.1297819829e-03    6.3460829395e-12   -1.5527236774e-04    1.2515284015e-07   -3.3423471925e-05   -2.2488638751e-13   -1.4721466554e-05    5.2498116295e-13
   0.5600000   -1.1278310304e-03    6.6020789506e-12   -1.5508853241e-04    1.3323424248e-07   -3.3354720104e-05   -1.7246856248e-13   -1.4786900560e-05    8.9084973300e-13
   0.6100000   -1.1254976615e-03    6.6408897065e-12   -1.5490565043e-04    1.3319983677e-07   -3.3344492046e-05   -9.8900130346e-14   -1.4844687921e-05    1.3078743559e-12
   0.6600000   -1.1230128210e-03    6.8135015124e-12   -1.5474759168e-04    1.2211811937e-07   -3.3387189174e-05   -4.5738538759e-14   -1.4890513634e-05    1.7530793538e-12
   0.7100000   -1.1206102029e-03    7.3487488680e-12   -1.5461926810e-04    1.0018756706e-07   -3.3466154264e-05   -4.1536731184e-14   -1.4921154213e-05    2.1944988780e-12
   0.7600000   -1.1183701500e-03    8.2023232327e-12   -1.5450262251e-04    7.1367853786e-08   -3.3557702582e-05   -1.0023461816e-13   -1.4934702083e-05    2.6050993780e-12
   0.8100000   -1.1162034279e-03    9.1545070500e-12   -1.5436971946e-04    4.2422622798e-08   -3.3636504738e-05   -1.8655791655e-13   -1.4930576435e-05    2.9556678501e-12
   0.8600000   -1.1139767161e-03    9.9965993078e-12   -1.5420262287e-04    2.0672082182e-08   -3.3680924572e-05   -2.6150400256e-13   -1.4909366296e-05    3.2244857579e-12
   0.9100000   -1.1116528692e-03    1.0668832638e-11   -1.5400487657e-04    1.1398722239e-08   -3.3677114294e-05   -2.8164312844e-13   -1.4872567265e-05    3.3924888103e-12
   0.9600000   -1.1093094799e-03    1.1213079059e-11   -1.5379711392e-04    1.6064050719e-08   -3.3621143374e-05   -2.4951564872e-13   -1.4822273580e-05    3.4545637881e-12
   1.0100000   -1.1070311505e-03    1.1664511689e-11   -1.5360161806e-04    3.2065231645e-08   -3.3519006026e-05   -1.8396561779e-13   -1.4760877357e-05    3.4081842202e-12
   1.0600000   -1.1048026738e-03    1.2101555002e-11   -1.5342709122e-04    5.3966798704e-08   -3.3384831950e-05   -1.2159413045e-13   -1.4690810800e-05    3.2637151181e-12
   1.1100000   -1.1025184664e-03    1.2591835527e-11   -1.5326360426e-04    7.5500662824e-08   -3.3237903470e-05   -9.8015158870e-14   -1.4614351048e-05    3.0357193818e-12
   1.1600000   -1.1000922550e-03    1.3196770977e-11   -1.5309189020e-04    9.1445666617e-08   -3.3099137773e-05   -1.2529662685e-13   -1.4533493047e-05    2.7463170546e-12
   1.2100000   -1.0975508952e-03    1.3908977845e-11   -1.5290138236e-04    9.8776377128e-08   -3.2987593026e-05   -1.8810084058e-13   -1.4449885104e-05    2.4222091947e-12
   1.2600000   -1.0950218407e-03    1.4630863654e-11   -1.5270134324e-04    9.6995761584e-08   -3.2917403005e-05   -2.6211203371e-13   -1.4364815629e-05    2.0950963047e-12
   1.3100000   -1.0926279026e-03    1.5256403202e-11   -1.5251182626e-04    8.7944659149e-08   -3.2895432417e-05   -3.0856978584e-13   -1.4279236433e-05    1.7885773464e-12
   1.3600000   -1.0903803881e-03    1.5799575152e-11   -1.5234143056e-04    7.5296713670e-08   -3.2919908159e-05   -3.1661729247e-13   -1.4193808584e-05    1.5231514105e-12
   1.4100000   -1.0881586239e-03    1.6336599708e-11   -1.5217661246e-04    6.3613286666e-08   -3.2980286867e-05   -3.0229264169e-13   -1.4108958597e-05    1.3088106686e-12
   1.4600000   -1.0857954755e-03    1.6934384112e-11   -1.5199684926e-04    5.6874511178e-08   -3.3058586739e-05   -2.7845408913e-13   -1.4024935349e-05    1.1458531737e-12
   1.5100000   -1.0832046664e-03    1.7639833217e-11   -1.5179950429e-04    5.6980258556e-08   -3.3132257518e-05   -2.8295776763e-13   -1.3941861679e-05    1.0132262692e-12
   1.5600000   -1.0804470049e-03    1.8342632395e-11   -1.5160583262e-04    6.3125400686e-08   -3.3178356603e-05   -3.1968774412e-13   -1.3859776480e-05    8.8889866189e-13
   1.6100000   -1.0776789287e-03    1.8800818325e-11   -1.5144131308e-04    7.2508283951e-08   -3.3178395417e-05   -3.6311115787e-13   -1.3778666233e-05    7.2797000456e-13
   1.6600000   -1.0750289558e-03    1.8663021894e-11   -1.5131083234e-04    8.1852729098e-08   -3.3122845393e-05   -4.0022236373e-13   -1.3698485639e-05    4.8825182629e-13
   1.7100000   -1.0725116379e-03    1.7932060112e-11   -1.5119070234e-04    8.8693972658e-08   -3.3014119033e-05   -4.0103407366e-13   -1.3619169233e-05    1.2353973606e-13
   1.7600000   -1.0700472303e-03    1.7408305376e-11   -1.5104128870e-04    9.1760332485e-08   -3.2866994872e-05   -3.4813799218e-13   -1.3540635775e-05   -4.0647999404e-13
   1.8100000   -1.0675505486e-03    1.8578283097e-11   -1.5083068423e-04    9.0619665311e-08   -3.2705978515e-05   -2.6339545003e-13   -1.3462788215e-05   -1.1349309948e-12
   1.8600000   -1.0649942295e-03    2.2447878091e-11   -1.5055660162e-04    8.5295032614e-08   -3.2559883547e-05   -1.5333818540e-13   -1.3385512152e-05   -2.0840073610e-12
   1.9100000   -1.0623939989e-03    2.8974509742e-11   -1.5025261242e-04    7.6386209962e-08   -3.2454764509e-05   -5.5692968035e-14   -1.3308674889e-05   -3.2550024282e-12
   1.9600000   -1.0597508279e-03    3.7803582335e-11   -1.4997038914e-04    6.5529416212e-08   -3.2406966851e-05   -2.5964858457e-15   -1.3232127053e-05   -4.6302237646e-12
   2.0100000   -1.0570239273e-03    4.9645811865e-11   -1.4974787084e-04    5.5449031359e-08   -3.2418239669e-05   -3.0044233608e-15   -1.3155707598e-05   -6.1844352105e-12
   2.0600000   -1.0541685693e-03    6.4743685111e-11   -1.4958814766e-04    4.9080184420e-08   -3.2474467654e-05   -5.8463255687e-14   -1.3079252066e-05   -7.8692105305e-12
   2.1100000   -1.0512018757e-03    7.7358290405e-11   -1.4946418941e-04    4.8174700005e-08   -3.2548679592e-05   -1.7345376778e-13   -1.3002604203e-05   -9.6237260315e-12
   2.1600000   -1.0482260270e-03    7.1052282325e-11   -1.4933987293e-04    5.2460773311e-08   -3.2607806665e-05   -3.6960348595e-13   -1.2925628193e-05   -1.1384098057e-11
   2.2100000   -1.0453709603e-03    2.2230451046e-11   -1.4918782467e-04    6.0018467766e-08   -3.2621532549e-05   -6.8265173975e-13   -1.2848220924e-05   -1.3080551455e-11
   2.2600000   -1.0426910763e-03   -8.6424963249e-11   -1.4899606285e-04    6.8477257267e-08   -3.2570850807e-05   -1.1331523290e-12   -1.2770322527e-05   -1.4646019080e-11
   2.3100000   -1.0401015607e-03   -2.4829317562e-10   -1.4876716717e-04    7.6061696359e-08   -3.2453869339e-05   -1.7205477640e-12   -1.2691923627e-05   -1.6018901984e-11
