# time  Re_m-2(R=14)  Im_m-2(R=14)  Re_m-1(R=14)  Im_m-1(R=14)  Re_m0(R=14)  Im_m0(R=14)  Re_m1(R=14)  Im_m1(R=14)  Re_m2(R=14)  Im_m2(R=14)  Re_m-2(R=30)  Im_m-2(R=30)  Re_m-1(R=30)  Im_m-1(R=30)  Re_m0(R=30)  Im_m0(R=30)  Re_m1(R=30)  Im_m1(R=30)  Re_m2(R=30)  Im_m2(R=30)
5.0499999999998501e+01  2.1614007059806144e-02  8.4729066707208631e-03  2.1846026715759139e-05  -4.4674764988337541e-06  -1.3500585925284568e-02  4.7700417326170062e-13  2.1846027284970802e-05  4.4674756933065512e-06  2.1614007058937710e-02  -8.4729066690599937e-03  -1.8296352988677479e-02  6.2463323512230225e-04  1.7663626572812104e-07  6.9590398102250558e-06  1.3723756087648621e-02  -2.3164301287672759e-14  1.7663641508693535e-07  -6.9590396943079956e-06  -1.8296352988701074e-02  -6.2463323522044488e-04
5.0999999999998401e+01  2.3184607447441597e-02  7.2878536612020059e-03  1.9767109077134006e-05  -5.9684114080602547e-06  -1.4627382525530057e-02  3.1738010623208381e-13  1.9767109673141824e-05  5.9684082348712584e-06  2.3184607447359382e-02  -7.2878536594711621e-03  -1.8711660534627552e-02  9.8922053928250956e-04  1.6731435502048158e-07  7.0534440516133280e-06  1.4032396498559247e-02  -1.1351749211853737e-14  1.6731444258820570e-07  -7.0534439493386778e-06  -1.8711660534740063e-02  -9.8922053939056289e-04
5.1499999999998302e+01  2.4598104311708925e-02  6.0231053089279214e-03  1.9323629842835227e-05  -7.4288222429437784e-06  -1.5653302699087327e-02  9.6326024684890293e-13  1.9323630624369217e-05  7.4288186853889209e-06  2.4598104312286703e-02  -6.0231053083331905e-03  -1.9030390696481780e-02  1.3781144985653391e-03  2.0534549838306093e-07  7.1424631476941266e-06  1.4268747420178784e-02  -3.8023122654997146e-14  2.0534552735555076e-07  -7.1424631174827458e-06  -1.9030390696564006e-02  -1.3781144985979929e-03
5.1999999999998202e+01  2.5839864590234168e-02  4.6925447555694003e-03  2.2097701285703061e-05  -8.7960540557634260e-06  -1.6542668584222590e-02  1.3497172240064669e-12  2.2097701714777327e-05  8.7960501823445758e-06  2.5839864590702057e-02  -4.6925447570073092e-03  -1.9249462519582101e-02  1.7899238957849221e-03  3.1849397422912872e-07  7.2290966196478723e-06  1.4430992618879559e-02  -7.6792464395866386e-14  3.1849404316937206e-07  -7.2290966494268139e-06  -1.9249462519584794e-02  -1.7899238956849014e-03
5.2499999999998103e+01  2.6902514717053086e-02  3.3018782262393253e-03  2.1531676471563398e-05  -1.0208532967795227e-05  -1.7323491873899591e-02  1.4506058091529728e-12  2.1531677949094674e-05  1.0208528923766245e-05  2.6902514718423812e-02  -3.3018782274129859e-03  -1.9367234555350943e-02  2.2253474746450918e-03  5.4963771494137379e-07  7.2809858910254669e-06  1.4515573174621758e-02  -6.5885814057135839e-14  5.4963778688439754e-07  -7.2809859497714141e-06  -1.9367234555260342e-02  -2.2253474745454818e-03
5.2999999999998003e+01  2.7762479829723838e-02  1.8642063843294229e-03  1.8747236987495717e-05  -1.1661202259816352e-05  -1.8017206835330427e-02  1.1707907838275707e-12  1.8747237590003917e-05  1.1661200220520091e-05  2.7762479830252935e-02  -1.8642063865379663e-03  -1.9379975608160304e-02  2.6831146064210365e-03  6.8617215231653990e-07  7.2867935373000174e-06  1.4515821401526805e-02  4.1058617687413437e-14  6.8617206544442832e-07  -7.2867936401273184e-06  -1.9379975608233447e-02  -2.6831146064087426e-03
5.3499999999997897e+01  2.8427797646154392e-02  3.9244421265449198e-04  1.7447130853043395e-05  -1.3136430716710964e-05  -1.8606028964970586e-02  3.3818583580779750e-13  1.7447130439906480e-05  1.3136430576483955e-05  2.8427797644810932e-02  -3.9244421383559922e-04  -1.9285100745492022e-02  3.1610921877103923e-03  7.4900868819843728e-07  7.2877290297858135e-06  1.4432810255306388e-02  9.5893345347652925e-14  7.4900850422200668e-07  -7.2877291959269029e-06  -1.9285100745754444e-02  -3.1610921876826675e-03
5.3999999999997797e+01  2.8898979333897849e-02  -1.1067758794158662e-03  1.7379081288840314e-05  -1.4536152200647076e-05  -1.9055199762088949e-02  7.4276190734534793e-13  1.7379079787327225e-05  1.4536154699609279e-05  2.8898979330018722e-02  1.1067758780441508e-03  -1.9079761988460286e-02  3.6571715175184988e-03  8.0694773842936810e-07  7.3099191701791559e-06  1.4273022280421852e-02  5.9430508203475035e-14  8.0694762229873403e-07  -7.3099192964453714e-06  -1.9079761988640601e-02  -3.6571715173816313e-03
5.4499999999997698e+01  2.9161239944853146e-02  -2.6168944170520815e-03  1.5571812932748472e-05  -1.5734526558670769e-05  -1.9366859701252216e-02  3.8395999433279288e-13  1.5571811457647747e-05  1.5734532251646002e-05  2.9161239937201430e-02  2.6168944158604466e-03  -1.8761918366881618e-02  4.1696304578482711e-03  9.9566061061894360e-07  7.3310954423220794e-06  1.4036169530281610e-02  3.8801740751101717e-14  9.9566066642870761e-07  -7.3310954091898842e-06  -1.8761918366832834e-02  -4.1696304577574549e-03
5.4999999999997598e+01  2.9213358004617582e-02  -4.1233486068864723e-03  1.3188724969296373e-05  -1.6959293311864507e-05  -1.9583522962869811e-02  1.9703402117884385e-12  1.3188725794092492e-05  1.6959300498418193e-05  2.9213357997034090e-02  4.1233486040741629e-03  -1.8328773993325172e-02  4.6967714606775861e-03  1.2905230189655581e-06  7.3221694741979338e-06  1.3718669322539173e-02  4.7349641500954269e-14  1.2905231821079615e-06  -7.3221693150171767e-06  -1.8328773993198984e-02  -4.6967714607474079e-03
5.5499999999997499e+01  2.9061597525170506e-02  -5.6211067588595115e-03  1.0674889389102460e-05  -1.8043614220405829e-05  -1.9702831140220436e-02  6.5723472400091437e-13  1.0674895001010134e-05  1.8043622451223136e-05  2.9061597518367129e-02  5.6211067553729030e-03  -1.7779708290434838e-02  5.2343760581087008e-03  1.5406157848785870e-06  7.2966795531595274e-06  1.3317112777538930e-02  -2.6488109394675469e-14  1.5406160336480238e-06  -7.2966794705907947e-06  -1.7779708290473401e-02  -5.2343760582698037e-03
5.5999999999997399e+01  2.8711398210072799e-02  -7.1021580889575392e-03  8.1658842933452503e-06  -1.8842457869452836e-05  -1.9689390950314731e-02  9.6639429585879816e-13  8.1658922123869799e-06  1.8842463965676900e-05  2.8711398206146994e-02  7.1021580858500691e-03  -1.7115123489496276e-02  5.7769830668501264e-03  1.8449643505095659e-06  7.2599713782516824e-06  1.2833752188014047e-02  -9.0867941223240524e-14  1.8449647426496742e-06  -7.2599714602913702e-06  -1.7115123489637656e-02  -5.7769830669542749e-03
5.6499999999997300e+01  2.8165467081043043e-02  -8.5455468276777677e-03  6.5476350075641361e-06  -1.9898998573016405e-05  -1.9523853639501668e-02  1.1070580826296091e-12  6.5476439054745918e-06  1.9899004687474323e-05  2.8165467079403331e-02  8.5455468260531332e-03  -1.6335441591667620e-02  6.3185374827554311e-03  2.2410927560332706e-06  7.2234169848977329e-06  1.2270063212236833e-02  -7.7842687841672784e-14  2.2410931819454300e-06  -7.2234171519444936e-06  -1.6335441591798519e-02  -6.3185374827823340e-03
5.6999999999997200e+01  2.7410925997298524e-02  -9.9398981978238467e-03  3.6673287007557956e-06  -2.0593109901984686e-05  -1.9259064960607607e-02  9.0103135862813419e-13  3.6673360196591724e-06  2.0593112517147306e-05  2.7410925997224431e-02  9.9398981979850615e-03  -1.5439992308286753e-02  6.8551320531199198e-03  2.7770775694138272e-06  7.1558501851744994e-06  1.1624789695810126e-02  -1.1567069222210517e-14  2.7770778063427585e-06  -7.1558503086308609e-06  -1.5439992308361862e-02  -6.8551320530984899e-03
