time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  2.4721844355569900e-09
1.0000000000000000e+00  -8.8169890825303726e-09  1.6561222758599799e-08
2.0000000000000000e+00  -1.3330944476584512e-07  1.8493560118686100e-08
2.9999999999999800e+00  -3.4655837526755493e-07  1.8551532927825715e-08
3.9999999999999600e+00  -5.4171604123435538e-07  1.8939351108931787e-08
4.9999999999999396e+00  -7.0248266286502419e-07  1.9328848246671352e-08
5.9999999999999201e+00  -8.7175980874865680e-07  1.9720839175658927e-08
6.9999999999998996e+00  -1.0091990076355740e-06  2.0299983729569407e-08
7.9999999999998703e+00  -1.1567235976192859e-06  2.0412506348684898e-08
8.9999999999998508e+00  -1.3057812564188883e-06  2.0583307842103819e-08
9.9999999999998295e+00  -1.4236515144050496e-06  2.0973072380548995e-08
1.0999999999999799e+01  -1.5406165135311036e-06  2.1862441220175560e-08
1.1999999999999799e+01  -1.6305158524887342e-06  2.2602621128471650e-08
1.2999999999999799e+01  -1.6893334136468264e-06  2.2825117540271676e-08
1.3999999999999700e+01  -1.7788349224074678e-06  2.2979793727863748e-08
1.4999999999999700e+01  -1.8770393508450731e-06  2.3468851965081168e-08
1.5999999999999700e+01  -1.9191907901582063e-06  2.5033740170337883e-08
1.6999999999999901e+01  -1.9459233141182119e-06  2.5069920471653908e-08
1.8000000000000000e+01  -2.0003136111378653e-06  2.4562883932837043e-08
1.9000000000000199e+01  -2.0315580601370898e-06  2.5652691700373403e-08
2.0000000000000298e+01  -2.0163790051220742e-06  2.6647004561779503e-08
2.1000000000000501e+01  -2.0073145075769705e-06  3.0277748283195858e-08
2.2000000000000600e+01  -2.0255166798931331e-06  4.0047048013618975e-07
2.3000000000000799e+01  -2.1616058731410592e-06  9.7481075535551023e-07
2.4000000000000998e+01  -2.3944072405540251e-06  5.0410272291624337e-07
2.5000000000001101e+01  -2.2244564503864578e-06  2.7533120560716724e-07
2.6000000000001300e+01  -2.0942197931449455e-06  2.5453706323505963e-07
2.7000000000001400e+01  -2.0749346303520628e-06  1.8394271972865968e-07
2.8000000000001599e+01  -2.0853548284342929e-06  1.7347907945468846e-07
2.9000000000001702e+01  -2.1178642844831774e-06  8.6715993539955613e-08
3.0000000000001901e+01  -2.1607397096883573e-06  9.7954189909955017e-08
3.1000000000002000e+01  -2.2079024679204675e-06  6.0596118820257428e-08
3.2000000000002203e+01  -2.2228704534563955e-06  8.7126429016492595e-08
3.3000000000001997e+01  -2.0242804762728269e-06  8.9151528816101168e-08
3.4000000000001798e+01  7.0068353143473955e-07  1.1066188750142107e-07
3.5000000000001599e+01  8.9500272013698397e-06  1.1600059362621502e-07
3.6000000000001400e+01  1.9278024133153399e-05  1.4719297603556078e-07
3.7000000000001201e+01  2.7642145305290865e-05  1.2576404195270044e-07
3.8000000000001002e+01  3.4224428317108902e-05  1.7740383375060539e-07
3.9000000000000803e+01  4.0273092354150828e-05  2.0072016777627590e-07
4.0000000000000597e+01  4.6805620594728476e-05  1.8582977258134644e-07
