# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time          separation                  xA                  yA                  zA            chiA_min          lapseA_min                  xB                  yB                  zB            chiB_min          lapseB_min             theta_A              ah_r_A             theta_B              ah_r_B        theta_common         ah_r_common
   0.0000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    4.1085946073e-07    2.1942989020e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    4.1085946073e-07    2.1942989020e-01    1.2844463998e-01    0.0000000000e+00    1.2844463998e-01    0.0000000000e+00    1.1750747760e-01    0.0000000000e+00
   0.0500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    4.3360904066e-07    2.1948644995e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    4.3360904066e-07    2.1948644995e-01    1.2840356893e-01    0.0000000000e+00    1.2840356893e-01    0.0000000000e+00    1.1748341441e-01    0.0000000000e+00
   0.1000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    4.5620410162e-07    2.1954137310e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    4.5620410162e-07    2.1954137310e-01    1.2836339229e-01    0.0000000000e+00    1.2836339229e-01    0.0000000000e+00    1.1745632124e-01    0.0000000000e+00
   0.1500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    4.7864933160e-07    2.1959473288e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    4.7864933160e-07    2.1959473288e-01    1.2832438499e-01    0.0000000000e+00    1.2832438499e-01    0.0000000000e+00    1.1742705588e-01    0.0000000000e+00
   0.2000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    5.0094923242e-07    2.1964659756e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    5.0094923242e-07    2.1964659756e-01    1.2828672853e-01    0.0000000000e+00    1.2828672853e-01    0.0000000000e+00    1.1739631009e-01    0.0000000000e+00
   0.2500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    5.2310808576e-07    2.1969703057e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    5.2310808576e-07    2.1969703057e-01    1.2825052795e-01    0.0000000000e+00    1.2825052795e-01    0.0000000000e+00    1.1736463502e-01    0.0000000000e+00
   0.3000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    5.4512995976e-07    2.1974609092e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    5.4512995976e-07    2.1974609092e-01    1.2821582710e-01    0.0000000000e+00    1.2821582710e-01    0.0000000000e+00    1.1733246392e-01    0.0000000000e+00
   0.3500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    5.6701873218e-07    2.1979383366e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    5.6701873218e-07    2.1979383366e-01    1.2818262216e-01    0.0000000000e+00    1.2818262216e-01    0.0000000000e+00    1.1730013225e-01    0.0000000000e+00
   0.4000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    5.8877809676e-07    2.1984031011e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    5.8877809676e-07    2.1984031011e-01    1.2815087342e-01    0.0000000000e+00    1.2815087342e-01    0.0000000000e+00    1.1726789533e-01    0.0000000000e+00
   0.4500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    6.1041157554e-07    2.1988556818e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    6.1041157554e-07    2.1988556818e-01    1.2812051548e-01    0.0000000000e+00    1.2812051548e-01    0.0000000000e+00    1.1723594360e-01    0.0000000000e+00
   0.5000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    6.3192253230e-07    2.1992965265e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    6.3192253230e-07    2.1992965265e-01    1.2809146573e-01    0.0000000000e+00    1.2809146573e-01    0.0000000000e+00    1.1720441567e-01    0.0000000000e+00
   0.5500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    6.5331418006e-07    2.1997260544e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    6.5331418006e-07    2.1997260544e-01    1.2806363133e-01    0.0000000000e+00    1.2806363133e-01    0.0000000000e+00    1.1717340921e-01    0.0000000000e+00
   0.6000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    6.7458959018e-07    2.2001446575e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    6.7458959018e-07    2.2001446575e-01    1.2803691475e-01    0.0000000000e+00    1.2803691475e-01    0.0000000000e+00    1.1714299005e-01    0.0000000000e+00
   0.6500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    6.9575170263e-07    2.2005527033e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    6.9575170263e-07    2.2005527033e-01    1.2801121800e-01    0.0000000000e+00    1.2801121800e-01    0.0000000000e+00    1.1711319944e-01    0.0000000000e+00
   0.7000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    7.1680333366e-07    2.2009505359e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    7.1680333366e-07    2.2009505359e-01    1.2798644574e-01    0.0000000000e+00    1.2798644574e-01    0.0000000000e+00    1.1708406002e-01    0.0000000000e+00
   0.7500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    7.3774718302e-07    2.2013384773e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    7.3774718302e-07    2.2013384773e-01    1.2796250751e-01    0.0000000000e+00    1.2796250751e-01    0.0000000000e+00    1.1705558047e-01    0.0000000000e+00
   0.8000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    7.5858584467e-07    2.2017168291e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    7.5858584467e-07    2.2017168291e-01    1.2793931914e-01    0.0000000000e+00    1.2793931914e-01    0.0000000000e+00    1.1702775923e-01    0.0000000000e+00
   0.8500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    7.7932181727e-07    2.2020858732e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    7.7932181727e-07    2.2020858732e-01    1.2791680356e-01    0.0000000000e+00    1.2791680356e-01    0.0000000000e+00    1.1700058735e-01    0.0000000000e+00
   0.9000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    7.9995751228e-07    2.2024458733e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    7.9995751228e-07    2.2024458733e-01    1.2789489126e-01    0.0000000000e+00    1.2789489126e-01    0.0000000000e+00    1.1697405078e-01    0.0000000000e+00
   0.9500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    8.2049526200e-07    2.2027970766e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    8.2049526200e-07    2.2027970766e-01    1.2787352031e-01    0.0000000000e+00    1.2787352031e-01    0.0000000000e+00    1.1694813214e-01    0.0000000000e+00
   1.0000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    8.4093732378e-07    2.2031397160e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    8.4093732378e-07    2.2031397160e-01    1.2785263626e-01    0.0000000000e+00    1.2785263626e-01    0.0000000000e+00    1.1692281203e-01    0.0000000000e+00
   1.0500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    8.6128587688e-07    2.2034740131e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    8.6128587688e-07    2.2034740131e-01    1.2783219177e-01    0.0000000000e+00    1.2783219177e-01    0.0000000000e+00    1.1689807012e-01    0.0000000000e+00
   1.1000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    8.8154301014e-07    2.2038001813e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    8.8154301014e-07    2.2038001813e-01    1.2781214627e-01    0.0000000000e+00    1.2781214627e-01    0.0000000000e+00    1.1687388592e-01    0.0000000000e+00
   1.1500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    9.0171069942e-07    2.2041184299e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    9.0171069942e-07    2.2041184299e-01    1.2779246543e-01    0.0000000000e+00    1.2779246543e-01    0.0000000000e+00    1.1685023937e-01    0.0000000000e+00
   1.2000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    9.2179077552e-07    2.2044289675e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    9.2179077552e-07    2.2044289675e-01    1.2777312071e-01    0.0000000000e+00    1.2777312071e-01    0.0000000000e+00    1.1682711128e-01    0.0000000000e+00
   1.2500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    9.4178488741e-07    2.2047320053e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    9.4178488741e-07    2.2047320053e-01    1.2775408881e-01    0.0000000000e+00    1.2775408881e-01    0.0000000000e+00    1.1680448360e-01    0.0000000000e+00
   1.3000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    9.6169446942e-07    2.2050277580e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    9.6169446942e-07    2.2050277580e-01    1.2773535116e-01    0.0000000000e+00    1.2773535116e-01    0.0000000000e+00    1.1678233959e-01    0.0000000000e+00
   1.3500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    9.8152072301e-07    2.2053164436e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    9.8152072301e-07    2.2053164436e-01    1.2771689336e-01    0.0000000000e+00    1.2771689336e-01    0.0000000000e+00    1.1676066393e-01    0.0000000000e+00
   1.4000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    1.0012646450e-06    2.2055982802e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    1.0012646450e-06    2.2055982802e-01    1.2769870472e-01    0.0000000000e+00    1.2769870472e-01    0.0000000000e+00    1.1673944271e-01    0.0000000000e+00
   1.4500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    1.0209282250e-06    2.2058734979e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    1.0209282250e-06    2.2058734979e-01    1.2768077773e-01    0.0000000000e+00    1.2768077773e-01    0.0000000000e+00    1.1671866344e-01    0.0000000000e+00
   1.5000000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    1.0405131715e-06    2.2061423098e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    1.0405131715e-06    2.2061423098e-01    1.2766310757e-01    0.0000000000e+00    1.2766310757e-01    0.0000000000e+00    1.1669831491e-01    0.0000000000e+00
   1.5500000    6.2500000000e-02    3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    1.0600205414e-06    2.2064048969e-01   -3.1250000000e-02    0.0000000000e+00    0.0000000000e+00    1.0600205414e-06    2.2064048969e-01    1.2764569170e-01    0.0000000000e+00    1.2764569170e-01    0.0000000000e+00    1.1667838714e-01    0.0000000000e+00
