# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    2.9899864622e-03    3.6078224864e-06
   0.0500000    3.4028153801e-03    4.9531869289e-06
   0.1000000    3.4027861703e-03    6.1924967511e-06
   0.1500000    3.4027849555e-03    7.5541593527e-06
   0.2000000    3.4028096179e-03    8.8767938182e-06
   0.2500000    3.4028618450e-03    1.0115392988e-05
   0.3000000    3.4029452443e-03    1.1260733427e-05
   0.3500000    3.4030641307e-03    1.2315201129e-05
   0.4000000    3.4032227934e-03    1.3284909391e-05
   0.4500000    3.4034250800e-03    1.4176824052e-05
   0.5000000    3.4036741813e-03    1.4997656831e-05
   0.5500000    3.4039725393e-03    1.5753475726e-05
   0.6000000    3.4043218306e-03    1.6449621005e-05
   0.6500000    3.4047229959e-03    1.7090748771e-05
   0.7000000    3.4051762958e-03    1.7680930035e-05
   0.7500000    3.4056813779e-03    1.8223771025e-05
   0.8000000    3.4062373458e-03    1.8722528191e-05
   0.8500000    3.4068428227e-03    1.9180198216e-05
   0.9000000    3.4074960119e-03    1.9599585816e-05
   0.9500000    3.4081947572e-03    1.9983355926e-05
   1.0000000    3.4089366064e-03    2.0334066398e-05
   1.0500000    3.4097188758e-03    2.0654174348e-05
   1.1000000    3.4105387077e-03    2.0946029357e-05
   1.1500000    3.4113931244e-03    2.1211880375e-05
   1.2000000    3.4122790767e-03    2.1453900427e-05
   1.2500000    3.4131934925e-03    2.1674208378e-05
   1.3000000    3.4141333223e-03    2.1874875775e-05
   1.3500000    3.4150955819e-03    2.2057922080e-05
   1.4000000    3.4160773864e-03    2.2225298944e-05
   1.4500000    3.4170759782e-03    2.2378864622e-05
   1.5000000    3.4180887506e-03    2.2520364436e-05
   1.5500000    3.4191132685e-03    2.2651432183e-05
   1.6000000    3.4201472853e-03    2.2773602868e-05
   1.6500000    3.4211887549e-03    2.2888318559e-05
   1.7000000    3.4222358419e-03    2.2996927781e-05
   1.7500000    3.4232869274e-03    2.3100688288e-05
   1.8000000    3.4243406133e-03    2.3200771612e-05
   1.8500000    3.4253957244e-03    2.3298263601e-05
   1.9000000    3.4264513088e-03    2.3394164563e-05
   1.9500000    3.4275066383e-03    2.3489393275e-05
   2.0000000    3.4285612063e-03    2.3584791447e-05
   2.0500000    3.4296147249e-03    2.3681125934e-05
   2.1000000    3.4306671211e-03    2.3779092489e-05
   2.1500000    3.4317185327e-03    2.3879323077e-05
   2.2000000    3.4327693027e-03    2.3982391770e-05
   2.2500000    3.4338199743e-03    2.4088815247e-05
   2.3000000    3.4348712844e-03    2.4199051982e-05
   2.3500000    3.4359241578e-03    2.4313505629e-05
   2.4000000    3.4369797001e-03    2.4432531191e-05
   2.4500000    3.4380391915e-03    2.4556438912e-05
   2.5000000    3.4391040802e-03    2.4685494698e-05
   2.5500000    3.4401759757e-03    2.4819920050e-05
   2.6000000    3.4412566428e-03    2.4959893598e-05
   2.6500000    3.4423479955e-03    2.5105553902e-05
   2.7000000    3.4434520910e-03    2.5257002203e-05
   2.7500000    3.4445711251e-03    2.5414304947e-05
   2.8000000    3.4457074267e-03    2.5577496243e-05
   2.8500000    3.4468634544e-03    2.5746579574e-05
   2.9000000    3.4480417918e-03    2.5921528717e-05
   2.9500000    3.4492451449e-03    2.6102289306e-05
   3.0000000    3.4504763394e-03    2.6288781707e-05
   3.0500000    3.4517383187e-03    2.6480903998e-05
   3.1000000    3.4530341434e-03    2.6678534025e-05
   3.1500000    3.4543669904e-03    2.6881531437e-05
   3.2000000    3.4557401538e-03    2.7089740624e-05
   3.2500000    3.4571570462e-03    2.7302993950e-05
   3.3000000    3.4586212010e-03    2.7521113934e-05
   3.3500000    3.4601362754e-03    2.7743914634e-05
   3.4000000    3.4617060545e-03    2.7971203335e-05
   3.4500000    3.4633344567e-03    2.8202782384e-05
   3.5000000    3.4650255396e-03    2.8438450216e-05
   3.5500000    3.4667835087e-03    2.8678002449e-05
   3.6000000    3.4686127261e-03    2.8921234469e-05
