# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -3.9096201615e-03   -1.4431978455e-03   -9.8309651816e-04   -6.3280993392e-04   -3.5190334603e-04   -3.2642471512e-04   -2.0031938839e-04   -2.2456649441e-04
   0.0600000   -3.8998641795e-03   -1.4371624545e-03   -9.8136708717e-04   -6.3295385527e-04   -3.5146903331e-04   -3.2643562558e-04   -2.0012587771e-04   -2.2532573767e-04
   0.1100000   -3.8900152151e-03   -1.4287402596e-03   -9.7961650146e-04   -6.3283033585e-04   -3.5103069974e-04   -3.2632739638e-04   -1.9994071975e-04   -2.2624025721e-04
   0.1600000   -3.8801507132e-03   -1.4203205568e-03   -9.7783853561e-04   -6.3253510378e-04   -3.5058927615e-04   -3.2613542300e-04   -1.9976945652e-04   -2.2713079350e-04
   0.2100000   -3.8702624214e-03   -1.4138490955e-03   -9.7604431492e-04   -6.3221687839e-04   -3.5014593810e-04   -3.2589908398e-04   -1.9961463423e-04   -2.2789013136e-04
   0.2600000   -3.8602579711e-03   -1.4103579408e-03   -9.7425383732e-04   -6.3198964722e-04   -3.4970155574e-04   -3.2565744974e-04   -1.9947587332e-04   -2.2847135653e-04
   0.3100000   -3.8500422532e-03   -1.4098499882e-03   -9.7247300482e-04   -6.3187830081e-04   -3.4925628442e-04   -3.2544534742e-04   -1.9935051653e-04   -2.2887310886e-04
   0.3600000   -3.8395876626e-03   -1.4115084909e-03   -9.7068189243e-04   -6.3182298639e-04   -3.4880938136e-04   -3.2529018848e-04   -1.9923449400e-04   -2.2912446922e-04
   0.4100000   -3.8289386439e-03   -1.4141058491e-03   -9.6884922373e-04   -6.3173406274e-04   -3.4835929545e-04   -3.2520985975e-04   -1.9912322510e-04   -2.2927126592e-04
   0.4600000   -3.8181704780e-03   -1.4164489233e-03   -9.6696007976e-04   -6.3156290178e-04   -3.4790400120e-04   -3.2521184124e-04   -1.9901241644e-04   -2.2936483090e-04
   0.5100000   -3.8073485938e-03   -1.4177196847e-03   -9.6502968633e-04   -6.3134698324e-04   -3.4744148696e-04   -3.2529356273e-04   -1.9889862839e-04   -2.2945362657e-04
   0.5600000   -3.7965051383e-03   -1.4176305875e-03   -9.6309032492e-04   -6.3120319419e-04   -3.4697027277e-04   -3.2544386417e-04   -1.9877953505e-04   -2.2957771878e-04
   0.6100000   -3.7856244692e-03   -1.4163864369e-03   -9.6116430047e-04   -6.3127205216e-04   -3.4648982874e-04   -3.2564530147e-04   -1.9865388495e-04   -2.2976578117e-04
   0.6600000   -3.7746425049e-03   -1.4145044419e-03   -9.5924689805e-04   -6.3164216228e-04   -3.4600078973e-04   -3.2587695430e-04   -1.9852124466e-04   -2.3003415935e-04
   0.7100000   -3.7634788459e-03   -1.4125765260e-03   -9.5731203821e-04   -6.3229458974e-04   -3.4550490735e-04   -3.2611735605e-04   -1.9838164413e-04   -2.3038746870e-04
   0.7600000   -3.7520931067e-03   -1.4110588188e-03   -9.5533417059e-04   -6.3309610262e-04   -3.4500473854e-04   -3.2634718099e-04   -1.9823523710e-04   -2.3082021806e-04
   0.8100000   -3.7405167749e-03   -1.4101483652e-03   -9.5330887723e-04   -6.3384510864e-04   -3.4450312853e-04   -3.2655138405e-04   -1.9808205488e-04   -2.3131901371e-04
   0.8600000   -3.7288232018e-03   -1.4097686544e-03   -9.5125696685e-04   -6.3434838222e-04   -3.4400259419e-04   -3.2672058404e-04   -1.9792188612e-04   -2.3186498278e-04
   0.9100000   -3.7170614369e-03   -1.4096476138e-03   -9.4920940601e-04   -6.3449310995e-04   -3.4350474074e-04   -3.2685159520e-04   -1.9775427613e-04   -2.3243614543e-04
   0.9600000   -3.7052195919e-03   -1.4094456244e-03   -9.4718462328e-04   -6.3428275614e-04   -3.4300984364e-04   -3.2694712702e-04   -1.9757861257e-04   -2.3300954965e-04
   1.0100000   -3.6932494616e-03   -1.4088827343e-03   -9.4517411422e-04   -6.3382344730e-04   -3.4251669759e-04   -3.2701477429e-04   -1.9739425412e-04   -2.3356305617e-04
   1.0600000   -3.6811183232e-03   -1.4078231375e-03   -9.4314402234e-04   -6.3327063407e-04   -3.4202277998e-04   -3.2706549372e-04   -1.9720066118e-04   -2.3407671981e-04
   1.1100000   -3.6688329442e-03   -1.4062956875e-03   -9.4105076074e-04   -6.3276284057e-04   -3.4152470963e-04   -3.2711180644e-04   -1.9699749756e-04   -2.3453375842e-04
   1.1600000   -3.6564192559e-03   -1.4044536438e-03   -9.3886603564e-04   -6.3237287869e-04   -3.4101891699e-04   -3.2716597358e-04   -1.9678468665e-04   -2.3492113291e-04
   1.2100000   -3.6438863026e-03   -1.4024970155e-03   -9.3660205193e-04   -6.3209629928e-04   -3.4050239206e-04   -3.2723836903e-04   -1.9656241888e-04   -2.3522978261e-04
   1.2600000   -3.6312106408e-03   -1.4005909821e-03   -9.3431631313e-04   -6.3187796649e-04   -3.3997335311e-04   -3.2733622657e-04   -1.9633111794e-04   -2.3545457235e-04
   1.3100000   -3.6183535638e-03   -1.3988115281e-03   -9.3207836190e-04   -6.3165950522e-04   -3.3943168545e-04   -3.2746287600e-04   -1.9609138000e-04   -2.3559401340e-04
   1.3600000   -3.6052965522e-03   -1.3971359983e-03   -9.2991493365e-04   -6.3142115969e-04   -3.3887903824e-04   -3.2761751285e-04   -1.9584390190e-04   -2.3564982030e-04
