# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time              L2_Ham              L2_Mom
   0.0000000    2.9906373439e-03    1.0823467459e-05
   0.0500000    3.4033958263e-03    1.3258618674e-05
   0.1000000    3.4034466899e-03    1.3885171151e-05
   0.1500000    3.4035465637e-03    1.4827943429e-05
   0.2000000    3.4036775484e-03    1.6052788089e-05
   0.2500000    3.4038315931e-03    1.7520058828e-05
   0.3000000    3.4040065833e-03    1.9179374952e-05
   0.3500000    3.4042037777e-03    2.0976101466e-05
   0.4000000    3.4044261838e-03    2.2858018124e-05
   0.4500000    3.4046775526e-03    2.4778965802e-05
   0.5000000    3.4049617643e-03    2.6700085717e-05
   0.5500000    3.4052824609e-03    2.8589722711e-05
   0.6000000    3.4056428350e-03    3.0422721808e-05
   0.6500000    3.4060455217e-03    3.2179573656e-05
   0.7000000    3.4064925584e-03    3.3845612829e-05
   0.7500000    3.4069853878e-03    3.5410300008e-05
   0.8000000    3.4075248863e-03    3.6866576542e-05
   0.8500000    3.4081114095e-03    3.8210294175e-05
   0.9000000    3.4087448525e-03    3.9439724096e-05
   0.9500000    3.4094247295e-03    4.0555124705e-05
   1.0000000    3.4101502723e-03    4.1558330764e-05
   1.0500000    3.4109205449e-03    4.2452348888e-05
   1.1000000    3.4117345633e-03    4.3241006382e-05
   1.1500000    3.4125914196e-03    4.3928722104e-05
   1.2000000    3.4134904068e-03    4.4520395025e-05
   1.2500000    3.4144311442e-03    4.5021334131e-05
   1.3000000    3.4154136971e-03    4.5437167141e-05
   1.3500000    3.4164386856e-03    4.5773711429e-05
   1.4000000    3.4175073747e-03    4.6036817375e-05
   1.4500000    3.4186217452e-03    4.6232216150e-05
   1.5000000    3.4197845466e-03    4.6365415525e-05
   1.5500000    3.4209993333e-03    4.6441662387e-05
   1.6000000    3.4222704846e-03    4.6465948088e-05
   1.6500000    3.4236032096e-03    4.6443020995e-05
   1.7000000    3.4250035402e-03    4.6377392860e-05
   1.7500000    3.4264783137e-03    4.6273342027e-05
   1.8000000    3.4280351469e-03    4.6134914219e-05
   1.8500000    3.4296824041e-03    4.5965921375e-05
   1.9000000    3.4314291606e-03    4.5769944917e-05
   1.9500000    3.4332851632e-03    4.5550347810e-05
   2.0000000    3.4352607879e-03    4.5310292504e-05
   2.0500000    3.4373669963e-03    4.5052760102e-05
   2.1000000    3.4396152911e-03    4.4780569236e-05
   2.1500000    3.4420176722e-03    4.4496393774e-05
   2.2000000    3.4445865936e-03    4.4202776938e-05
   2.2500000    3.4473349208e-03    4.3902140939e-05
   2.3000000    3.4502758905e-03    4.3596795240e-05
   2.3500000    3.4534230707e-03    4.3288946396e-05
   2.4000000    3.4567903236e-03    4.2980707808e-05
   2.4500000    3.4603917705e-03    4.2674105185e-05
   2.5000000    3.4642417592e-03    4.2371076329e-05
   2.5500000    3.4683548344e-03    4.2073468040e-05
   2.6000000    3.4727457107e-03    4.1783033221e-05
   2.6500000    3.4774292486e-03    4.1501428815e-05
   2.7000000    3.4824204343e-03    4.1230213478e-05
   2.7500000    3.4877343621e-03    4.0970844482e-05
   2.8000000    3.4933862206e-03    4.0724674162e-05
   2.8500000    3.4993912817e-03    4.0492945993e-05
   2.9000000    3.5057648935e-03    4.0276790180e-05
   2.9500000    3.5125224761e-03    4.0077219131e-05
   3.0000000    3.5196795215e-03    3.9895123331e-05
   3.0500000    3.5272515979e-03    3.9731268018e-05
   3.1000000    3.5352543576e-03    3.9586291378e-05
   3.1500000    3.5437035495e-03    3.9460705412e-05
   3.2000000    3.5526150372e-03    3.9354899780e-05
   3.2500000    3.5620048220e-03    3.9269147399e-05
   3.3000000    3.5718890713e-03    3.9203610115e-05
   3.3500000    3.5822841542e-03    3.9158344155e-05
   3.4000000    3.5932066830e-03    3.9133306364e-05
   3.4500000    3.6046735638e-03    3.9128361630e-05
   3.5000000    3.6167020543e-03    3.9143291158e-05
   3.5500000    3.6293098326e-03    3.9177802142e-05
   3.6000000    3.6425150756e-03    3.9231539757e-05
   3.6500000    3.6563365471e-03    3.9304100705e-05
   3.7000000    3.6707936976e-03    3.9395045977e-05
   3.7500000    3.6859067738e-03    3.9503911387e-05
   3.8000000    3.7016969417e-03    3.9630216523e-05
   3.8500000    3.7181864221e-03    3.9773473500e-05
   3.9000000    3.7353986402e-03    3.9933195864e-05
   3.9500000    3.7533583879e-03    4.0108906915e-05
   4.0000000    3.7720919956e-03    4.0300147080e-05
   4.0500000    3.7916275138e-03    4.0506480736e-05
   4.1000000    3.8119949014e-03    4.0727502357e-05
   4.1500000    3.8332262220e-03    4.0962841241e-05
   4.2000000    3.8553558439e-03    4.1212164375e-05
   4.2500000    3.8784206408e-03    4.1475177777e-05
   4.3000000    3.9024601833e-03    4.1751626900e-05
   4.3500000    3.9275169126e-03    4.2041296027e-05
   4.4000000    3.9536362893e-03    4.2344006657e-05
   4.4500000    3.9808669069e-03    4.2659615457e-05
   4.5000000    4.0092605640e-03    4.2988012318e-05
   4.5500000    4.0388722803e-03    4.3329118100e-05
   4.6000000    4.0697602382e-03    4.3682881198e-05
   4.6500000    4.1019856275e-03    4.4049272893e-05
   4.7000000    4.1356123679e-03    4.4428282204e-05
   4.7500000    4.1707066883e-03    4.4819910878e-05
   4.8000000    4.2073365394e-03    4.5224168579e-05
   4.8500000    4.2455708143e-03    4.5641068363e-05
   4.9000000    4.2854783458e-03    4.6070622603e-05
   4.9500000    4.3271266467e-03    4.6512839282e-05
   5.0000000    4.3705803574e-03    4.6967718253e-05
   5.0500000    4.4158993725e-03    4.7435247210e-05
   5.1000000    4.4631366180e-03    4.7915397461e-05
   5.1500000    4.5123354582e-03    4.8408119837e-05
   5.2000000    4.5635267104e-03    4.8913340553e-05
   5.2500000    4.6167252528e-03    4.9430956375e-05
   5.3000000    4.6719262216e-03    4.9960828765e-05
   5.3500000    4.7291008143e-03    5.0502777338e-05
   5.4000000    4.7881917362e-03    5.1056573059e-05
   5.4500000    4.8491083602e-03    5.1621931145e-05
   5.5000000    4.9117216926e-03    5.2198503003e-05
