# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000    1.2038304385e-03   -1.9141835386e-04    1.6495310964e-04   -4.2212270345e-05    3.5075585270e-05   -1.2962675579e-05    1.4686186114e-05   -6.7018406935e-06
   0.0600000    1.2022481402e-03   -1.8902525176e-04    1.6481542592e-04   -4.2464034571e-05    3.5053294881e-05   -1.2917824869e-05    1.4766961886e-05   -6.5127027063e-06
   0.1100000    1.2005865288e-03   -1.8548095455e-04    1.6465907816e-04   -4.2803986986e-05    3.5032257778e-05   -1.2896079350e-05    1.4815250147e-05   -6.1837476959e-06
   0.1600000    1.1989219309e-03   -1.8207069039e-04    1.6444860067e-04   -4.3255745184e-05    3.5011424501e-05   -1.2900186243e-05    1.4836853796e-05   -5.8548061420e-06
   0.2100000    1.1972798455e-03   -1.7984028902e-04    1.6422097425e-04   -4.3832062169e-05    3.4989573936e-05   -1.2929088183e-05    1.4836556431e-05   -5.6082696370e-06
   0.2600000    1.1956112953e-03   -1.7930325204e-04    1.6406259348e-04   -4.4508463791e-05    3.4965587016e-05   -1.2978436457e-05    1.4816910339e-05   -5.4810011855e-06
   0.3100000    1.1938308223e-03   -1.8036800348e-04    1.6401372553e-04   -4.5215582292e-05    3.4938746592e-05   -1.3041474825e-05    1.4778467082e-05   -5.4759730358e-06
   0.3600000    1.1918844319e-03   -1.8247680545e-04    1.6400545374e-04   -4.5855485824e-05    3.4908917657e-05   -1.3110136468e-05    1.4720729939e-05   -5.5729248026e-06
   0.4100000    1.1897945392e-03   -1.8487389888e-04    1.6390719259e-04   -4.6334879690e-05    3.4876568493e-05   -1.3176191441e-05    1.4643310727e-05   -5.7376403342e-06
   0.4600000    1.1876493246e-03   -1.8688799789e-04    1.6364718093e-04   -4.6599700553e-05    3.4842639424e-05   -1.3232299702e-05    1.4546908469e-05   -5.9296494449e-06
   0.5100000    1.1855458989e-03   -1.8812970007e-04    1.6328750379e-04   -4.6655097552e-05    3.4808308156e-05   -1.3272858669e-05    1.4433864309e-05   -6.1083004128e-06
   0.5600000    1.1835279702e-03   -1.8855402202e-04    1.6297599113e-04   -4.6561830900e-05    3.4774726619e-05   -1.3294574253e-05    1.4308205184e-05   -6.2372443055e-06
   0.6100000    1.1815609333e-03   -1.8839633186e-04    1.6281811016e-04   -4.6410984776e-05    3.4742806667e-05   -1.3296724325e-05    1.4175240138e-05   -6.2874407096e-06
   0.6600000    1.1795622493e-03   -1.8803181325e-04    1.6278928092e-04   -4.6288469359e-05    3.4713108430e-05   -1.3281117092e-05    1.4040877957e-05   -6.2388443633e-06
   0.7100000    1.1774666819e-03   -1.8782204803e-04    1.6276622180e-04   -4.6244918566e-05    3.4685845694e-05   -1.3251773095e-05    1.3910871830e-05   -6.0809683238e-06
   0.7600000    1.1752771479e-03   -1.8800029754e-04    1.6264078308e-04   -4.6283642427e-05    3.4660980413e-05   -1.3214378477e-05    1.3790171437e-05   -5.8125415128e-06
   0.8100000    1.1730580853e-03   -1.8862185656e-04    1.6240640624e-04   -4.6370637720e-05    3.4638348474e-05   -1.3175571519e-05    1.3682497480e-05   -5.4404876024e-06
   0.8600000    1.1708742400e-03   -1.8958020684e-04    1.6214341284e-04   -4.6460235906e-05    3.4617751539e-05   -1.3142135517e-05    1.3590178206e-05   -4.9784472552e-06
   0.9100000    1.1687286948e-03   -1.9067113075e-04    1.6193153223e-04   -4.6522799626e-05    3.4598969010e-05   -1.3120181111e-05    1.3514222285e-05   -4.4450493516e-06
   0.9600000    1.1665588956e-03   -1.9167732142e-04    1.6178148567e-04   -4.6560616493e-05    3.4581681616e-05   -1.3114406425e-05    1.3454561212e-05   -3.8621099297e-06
   1.0100000    1.1642966769e-03   -1.9244444000e-04    1.6164419106e-04   -4.6604811154e-05    3.4565341886e-05   -1.3127522742e-05    1.3410378322e-05   -3.2529047466e-06
   1.0600000    1.1619364457e-03   -1.9292507148e-04    1.6147144898e-04   -4.6695983575e-05    3.4549059351e-05   -1.3159922180e-05    1.3380446733e-05   -2.6406246957e-06
   1.1100000    1.1595462336e-03   -1.9317886111e-04    1.6125859985e-04   -4.6859193728e-05    3.4531577181e-05   -1.3209639939e-05    1.3363417530e-05   -2.0470871560e-06
   1.1600000    1.1572089646e-03   -1.9333296809e-04    1.6103431340e-04   -4.7086131236e-05    3.4511395112e-05   -1.3272627837e-05    1.3358024530e-05   -1.4917423149e-06
   1.2100000    1.1549454842e-03   -1.9352173420e-04    1.6082357642e-04   -4.7333214454e-05    3.4487046579e-05   -1.3343311587e-05    1.3363196003e-05   -9.9098458100e-07
   1.2600000    1.1526884018e-03   -1.9383173777e-04    1.6062789910e-04   -4.7536379650e-05    3.4457478503e-05   -1.3415359638e-05    1.3378082872e-05   -5.5775566997e-07
   1.3100000    1.1503331504e-03   -1.9427432242e-04    1.6043502951e-04   -4.7635575618e-05    3.4422430411e-05   -1.3482554400e-05    1.3402025568e-05   -2.0140874198e-07
   1.3600000    1.1478268970e-03   -1.9479398240e-04    1.6023732866e-04   -4.7598115432e-05    3.4382685344e-05   -1.3539636861e-05    1.3434485806e-05    7.2208028711e-08
   1.4100000    1.1452209830e-03   -1.9530448086e-04    1.6003778957e-04   -4.7431294324e-05    3.4340081152e-05   -1.3582996828e-05    1.3474968784e-05    2.6049595549e-07
   1.4600000    1.1426385160e-03   -1.9573333055e-04    1.5984279548e-04   -4.7179741952e-05    3.4297227936e-05   -1.3611106701e-05    1.3522955691e-05    3.6372704813e-07
   1.5100000    1.1401780111e-03   -1.9605404514e-04    1.5965306601e-04   -4.6909432039e-05    3.4256963005e-05   -1.3624639687e-05    1.3577859073e-05    3.8458815402e-07
   1.5600000    1.1378304375e-03   -1.9629372727e-04    1.5946164998e-04   -4.6685724340e-05    3.4221663581e-05   -1.3626267477e-05    1.3639005688e-05    3.2768948689e-07
   1.6100000    1.1354799248e-03   -1.9651607214e-04    1.5925976729e-04   -4.6554975779e-05    3.4192600054e-05   -1.3620185049e-05    1.3705645282e-05    1.9907238829e-07
   1.6600000    1.1329900660e-03   -1.9679047419e-04    1.5904469856e-04   -4.6536708792e-05    3.4169524700e-05   -1.3611452037e-05    1.3776978719e-05    5.7440645777e-09
   1.7100000    1.1303064871e-03   -1.9716225994e-04    1.5882174913e-04   -4.6627254545e-05    3.4150641568e-05   -1.3605262141e-05    1.3852197371e-05   -2.4474033135e-07
   1.7600000    1.1274941945e-03   -1.9763634540e-04    1.5859802160e-04   -4.6810051166e-05    3.4133001929e-05   -1.3606252886e-05    1.3930524596e-05   -5.4463510459e-07
   1.8100000    1.1246839534e-03   -1.9817928421e-04    1.5837571940e-04   -4.7065838182e-05    3.4113244523e-05   -1.3617948696e-05    1.4011251812e-05   -8.8629389549e-07
   1.8600000    1.1219753068e-03   -1.9873665504e-04    1.5815393975e-04   -4.7378052036e-05    3.4088488727e-05   -1.3642397445e-05    1.4093764063e-05   -1.2623903978e-06
   1.9100000    1.1193730520e-03   -1.9925734415e-04    1.5793570407e-04   -4.7732466309e-05    3.4057129919e-05   -1.3680023499e-05    1.4177552271e-05   -1.6660727677e-06
   1.9600000    1.1167991699e-03   -1.9971489693e-04    1.5772725299e-04   -4.8113367068e-05    3.4019300675e-05   -1.3729686065e-05    1.4262212206e-05   -2.0910577404e-06
   2.0100000    1.1141587781e-03   -2.0011823437e-04    1.5752615859e-04   -4.8500226158e-05    3.3976850398e-05   -1.3788907312e-05    1.4347432295e-05   -2.5316727951e-06
   2.0600000    1.1114023785e-03   -2.0050823806e-04    1.5731370837e-04   -4.8868220585e-05    3.3932833755e-05   -1.3854221670e-05    1.4432973485e-05   -2.9828559196e-06
   2.1100000    1.1085425500e-03   -2.0094164623e-04    1.5706765275e-04   -4.9193085788e-05    3.3890644081e-05   -1.3921595590e-05    1.4518645161e-05   -3.4401234845e-06
   2.1600000    1.1056269166e-03   -2.0146817841e-04    1.5678707686e-04   -4.9457552543e-05    3.3853036860e-05   -1.3986871497e-05    1.4604281467e-05   -3.8995157419e-06
   2.2100000    1.1026984600e-03   -2.0210943077e-04    1.5650093404e-04   -4.9655629670e-05    3.3821326024e-05   -1.4046196864e-05    1.4689721155e-05   -4.3575295932e-06
   2.2600000    1.0997722654e-03   -2.0284751824e-04    1.5624549758e-04   -4.9792852753e-05    3.3794989918e-05   -1.4096405431e-05    1.4774793559e-05   -4.8110466534e-06
   2.3100000    1.0968386116e-03   -2.0362758796e-04    1.5603177721e-04   -4.9883216893e-05    3.3771806591e-05   -1.4135321866e-05    1.4859311751e-05   -5.2572632945e-06
   2.3600000    1.0938834863e-03   -2.0437295676e-04    1.5583772574e-04   -4.9944641679e-05    3.3748484712e-05   -1.4161963692e-05    1.4943073048e-05   -5.6936280816e-06
   2.4100000    1.0909063622e-03   -2.0500731971e-04    1.5563200531e-04   -4.9994486650e-05    3.3721610456e-05   -1.4176619147e-05    1.5025865881e-05   -6.1177899785e-06
   2.4600000    1.0879175173e-03   -2.0547674699e-04    1.5540047803e-04   -5.0046180478e-05    3.3688636617e-05   -1.4180787832e-05    1.5107481227e-05   -6.5275598833e-06
   2.5100000    1.0849170760e-03   -2.0576490611e-04    1.5514837239e-04   -5.0107875093e-05    3.3648624671e-05   -1.4176984995e-05    1.5187726260e-05   -6.9208859828e-06
   2.5600000    1.0818802993e-03   -2.0589733672e-04    1.5488463957e-04   -5.0183474728e-05    3.3602520542e-05   -1.4168428881e-05    1.5266438006e-05   -7.2958428166e-06
   2.6100000    1.0787714178e-03   -2.0593407646e-04    1.5461336372e-04   -5.0275150945e-05    3.3552880955e-05   -1.4158649814e-05    1.5343494767e-05   -7.6506326202e-06
   2.6600000    1.0755775927e-03   -2.0595367261e-04    1.5433938709e-04   -5.0385433764e-05    3.3503130714e-05   -1.4151075894e-05    1.5418823740e-05   -7.9835970359e-06
   2.7100000    1.0723279103e-03   -2.0603415818e-04    1.5407260753e-04   -5.0517186521e-05    3.3456574442e-05   -1.4148656623e-05    1.5492403727e-05   -8.2932366099e-06
   2.7600000    1.0690729310e-03   -2.0623664700e-04    1.5382004255e-04   -5.0671227193e-05    3.3415463379e-05   -1.4153581717e-05    1.5564262847e-05   -8.5782354401e-06
   2.8100000    1.0658409096e-03   -2.0659499586e-04    1.5357526042e-04   -5.0843024174e-05    3.3380403393e-05   -1.4167134686e-05    1.5634471292e-05   -8.8374881630e-06
   2.8600000    1.0626143235e-03   -2.0711211638e-04    1.5332015684e-04   -5.1020583713e-05    3.3350283725e-05   -1.4189695651e-05    1.5703130517e-05   -9.0701266030e-06
   2.9100000    1.0593517066e-03   -2.0776163656e-04    1.5303957524e-04   -5.1184986337e-05    3.3322739757e-05   -1.4220878191e-05    1.5770359946e-05   -9.2755437257e-06
   2.9600000    1.0560308123e-03   -2.0849314277e-04    1.5273544855e-04   -5.1313736296e-05    3.3294987430e-05   -1.4259759790e-05    1.5836282782e-05   -9.4534129383e-06
   3.0100000    1.0526642943e-03   -2.0923950352e-04    1.5242756488e-04   -5.1386084059e-05    3.3264743598e-05   -1.4305149209e-05    1.5901012584e-05   -9.6037012217e-06
   3.0600000    1.0492719080e-03   -2.0992507918e-04    1.5213879020e-04   -5.1388866335e-05    3.3230917312e-05   -1.4355831824e-05    1.5964641821e-05   -9.7266749610e-06
   3.1100000    1.0458478559e-03   -2.1047394597e-04    1.5187503560e-04   -5.1320873008e-05    3.3193838067e-05   -1.4410743921e-05    1.6027233552e-05   -9.8228980449e-06
   3.1600000    1.0423680122e-03   -2.1081796787e-04    1.5161703495e-04   -5.1193720487e-05    3.3154951515e-05   -1.4469048222e-05    1.6088816652e-05   -9.8932220843e-06
   3.2100000    1.0388274498e-03   -2.1090538722e-04    1.5133428979e-04   -5.1028481033e-05    3.3116105632e-05   -1.4530107359e-05    1.6149384844e-05   -9.9387691346e-06
   3.2600000    1.0352554421e-03   -2.1071047063e-04    1.5101178726e-04   -5.0849461424e-05    3.3078701886e-05   -1.4593375433e-05    1.6208899410e-05   -9.9609076793e-06
   3.3100000    1.0316837972e-03   -2.1024291918e-04    1.5066474613e-04   -5.0677874649e-05    3.3043038564e-05   -1.4658243478e-05    1.6267294778e-05   -9.9612228069e-06
   3.3600000    1.0281074045e-03   -2.0955332566e-04    1.5032532023e-04   -5.0527748071e-05    3.3008106912e-05   -1.4723879722e-05    1.6324486331e-05   -9.9414818152e-06
   3.4100000    1.0244875148e-03   -2.0873033130e-04    1.5001307131e-04   -5.0405019478e-05    3.2971934335e-05   -1.4789101788e-05    1.6380379432e-05   -9.9035966239e-06
   3.4600000    1.0207940791e-03   -2.0788764883e-04    1.4971870339e-04   -5.0309539924e-05    3.2932363144e-05   -1.4852304802e-05    1.6434878647e-05   -9.8495842709e-06
   3.5100000    1.0170366498e-03   -2.0714349928e-04    1.4941701399e-04   -5.0238829794e-05    3.2887981753e-05   -1.4911455606e-05    1.6487896462e-05   -9.7815269281e-06
   3.5600000    1.0132510352e-03   -2.0659846665e-04    1.4909386833e-04   -5.0191725053e-05    3.2838853086e-05   -1.4964148606e-05    1.6539360482e-05   -9.7015325944e-06
   3.6100000    1.0094614770e-03   -2.0631835325e-04    1.4875754120e-04   -5.0169955571e-05    3.2786740553e-05   -1.5007710263e-05    1.6589218851e-05   -9.6116976302e-06
   3.6600000    1.0056596738e-03   -2.0632630411e-04    1.4842352797e-04   -5.0176815409e-05    3.2734699615e-05   -1.5039335723e-05    1.6637443454e-05   -9.5140721269e-06
   3.7100000    1.0018155862e-03   -2.0660467232e-04    1.4809303146e-04   -5.0213936388e-05    3.2686126695e-05   -1.5056242766e-05    1.6684030971e-05   -9.4106288262e-06
   3.7600000    9.9790104431e-04   -2.0710374730e-04    1.4775245835e-04   -5.0278339123e-05    3.2643559033e-05   -1.5055832165e-05    1.6729002077e-05   -9.3032360684e-06
   3.8100000    9.9390375405e-04   -2.0775310126e-04    1.4739480561e-04   -5.0361553476e-05    3.2607629113e-05   -1.5035847696e-05    1.6772399038e-05   -9.1936353611e-06
   3.8600000    9.8982959782e-04   -2.0847215034e-04    1.4703526454e-04   -5.0451192688e-05    3.2576553476e-05   -1.4994530737e-05    1.6814282401e-05   -9.0834234721e-06
   3.9100000    9.8570212108e-04   -2.0917843234e-04    1.4669887494e-04   -5.0534064906e-05    3.2546382134e-05   -1.4930763614e-05    1.6854727289e-05   -8.9740392731e-06
   3.9600000    9.8155742251e-04   -2.0979392299e-04    1.4639204812e-04   -5.0599373559e-05    3.2511996489e-05   -1.4844192287e-05    1.6893819807e-05   -8.8667551113e-06
   4.0100000    9.7742406050e-04   -2.1025109762e-04    1.4609046153e-04   -5.0640818817e-05    3.2468596519e-05   -1.4735316448e-05    1.6931654104e-05   -8.7626724509e-06
   4.0600000    9.7329446813e-04   -2.1050081078e-04    1.4575826309e-04   -5.0657167470e-05    3.2413241160e-05   -1.4605533045e-05    1.6968330296e-05   -8.6627214143e-06
   4.1100000    9.6911875452e-04   -2.1052198816e-04    1.4537944457e-04   -5.0651604159e-05    3.2345959460e-05   -1.4457122359e-05    1.7003953373e-05   -8.5676639000e-06
   4.1600000    9.6484176101e-04   -2.1032884537e-04    1.4497018695e-04   -5.0630445465e-05    3.2270055016e-05   -1.4293171736e-05    1.7038633176e-05   -8.4780996296e-06
   4.2100000    9.6045679579e-04   -2.0996902975e-04    1.4456151925e-04   -5.0601620402e-05    3.2191454163e-05   -1.4117441538e-05    1.7072484896e-05   -8.3944748637e-06
   4.2600000    9.5601947656e-04   -2.0951025485e-04    1.4417123221e-04   -5.0573179469e-05    3.2117236403e-05   -1.3934188736e-05    1.7105630085e-05   -8.3170930559e-06
   4.3100000    9.5159936107e-04   -2.0902167216e-04    1.4379308896e-04   -5.0552171690e-05    3.2053741932e-05   -1.3747971404e-05    1.7138197611e-05   -8.2461271943e-06
   4.3600000    9.4721478667e-04   -2.0856075575e-04    1.4341183165e-04   -5.0544130569e-05    3.2004798402e-05   -1.3563461860e-05    1.7170324107e-05   -8.1816331532e-06
   4.4100000    9.4281788855e-04   -2.0817105199e-04    1.4302441815e-04   -5.0552932524e-05    3.1970594073e-05   -1.3385293996e-05    1.7202153803e-05   -8.1235638655e-06
   4.4600000    9.3834292701e-04   -2.0788570931e-04    1.4264178028e-04   -5.0580476555e-05    3.1947547515e-05   -1.3217961135e-05    1.7233837179e-05   -8.0717836739e-06
   4.5100000    9.3376374639e-04   -2.0772719969e-04    1.4226948640e-04   -5.0626035018e-05    3.1929234474e-05   -1.3065767675e-05    1.7265528697e-05   -8.0260827889e-06
   4.5600000    9.2910299134e-04   -2.0769977655e-04    1.4189258343e-04   -5.0685844567e-05    3.1908117213e-05   -1.2932822754e-05    1.7297383435e-05   -7.9861912900e-06
   4.6100000    9.2439465197e-04   -2.0778133622e-04    1.4148616829e-04   -5.0753617859e-05    3.1877580034e-05   -1.2823051122e-05    1.7329552856e-05   -7.9517925732e-06
   4.6600000    9.1964853416e-04   -2.0792489514e-04    1.4104203124e-04   -5.0821936457e-05    3.1833682297e-05   -1.2740190168e-05    1.7362180083e-05   -7.9225359622e-06
   4.7100000    9.1485031013e-04   -2.0807297095e-04    1.4058099913e-04   -5.0883701392e-05    3.1776128607e-05   -1.2687744929e-05    1.7395394957e-05   -7.8980483027e-06
   4.7600000    9.0998447703e-04   -2.0817686660e-04    1.4013574016e-04   -5.0932764280e-05    3.1708194736e-05   -1.2668884254e-05    1.7429309365e-05   -7.8779442649e-06
   4.8100000    9.0505006295e-04   -2.0820784208e-04    1.3972137345e-04   -5.0963563119e-05    3.1635661888e-05   -1.2686280000e-05    1.7464013114e-05   -7.8618354318e-06
   4.8600000    9.0006013507e-04   -2.0815409329e-04    1.3932366160e-04   -5.0970426695e-05    3.1565098880e-05   -1.2741911212e-05    1.7499570789e-05   -7.8493378761e-06
   4.9100000    8.9503527903e-04   -2.0801066323e-04    1.3891489888e-04   -5.0947508152e-05    3.1502005099e-05   -1.2836870112e-05    1.7536019695e-05   -7.8400783389e-06
   4.9600000    8.8999444277e-04   -2.0777557063e-04    1.3847931221e-04   -5.0889791615e-05    3.1449338552e-05   -1.2971211567e-05    1.7573369149e-05   -7.8336988041e-06
   5.0100000    8.8493789614e-04   -2.0745716198e-04    1.3802242087e-04   -5.0794710506e-05    3.1406812542e-05   -1.3143878907e-05    1.7611601129e-05   -7.8298597822e-06
   5.0600000    8.7983146642e-04   -2.0708344670e-04    1.3755793379e-04   -5.0663474499e-05    3.1371105910e-05   -1.3352719291e-05    1.7650672124e-05   -7.8282420121e-06
   5.1100000    8.7461789057e-04   -2.0670036514e-04    1.3709010895e-04   -5.0501611417e-05    3.1336874946e-05   -1.3594576915e-05    1.7690516115e-05   -7.8285470617e-06
   5.1600000    8.6926263232e-04   -2.0635738126e-04    1.3661292321e-04   -5.0318892807e-05    3.1298252868e-05   -1.3865432722e-05    1.7731048394e-05   -7.8304966516e-06
   5.2100000    8.6379705898e-04   -2.0609183844e-04    1.3612594152e-04   -5.0128888986e-05    3.1250419311e-05   -1.4160551323e-05    1.7772170052e-05   -7.8338311369e-06
   5.2600000    8.5830769356e-04   -2.0592280646e-04    1.3564498165e-04   -4.9947946637e-05    3.1190830888e-05   -1.4474605349e-05    1.7813772695e-05   -7.8383072321e-06
   5.3100000    8.5286706518e-04   -2.0585322341e-04    1.3519047978e-04   -4.9793238930e-05    3.1119807249e-05   -1.4801768406e-05    1.7855743175e-05   -7.8436952066e-06
   5.3600000    8.4746560879e-04   -2.0587243384e-04    1.3476381873e-04   -4.9680120930e-05    3.1040336996e-05   -1.5135792343e-05    1.7897968097e-05   -7.8497758344e-06
   5.4100000    8.4201204373e-04   -2.0595726841e-04    1.3433889033e-04   -4.9619736850e-05    3.0957168373e-05   -1.5470099674e-05    1.7940337864e-05   -7.8563372546e-06
   5.4600000    8.3640654912e-04   -2.0607723500e-04    1.3388105129e-04   -4.9617835676e-05    3.0875440264e-05   -1.5797920137e-05    1.7982749999e-05   -7.8631720134e-06
   5.5100000    8.3062058552e-04   -2.0620518751e-04    1.3337551848e-04   -4.9674980375e-05    3.0799244666e-05   -1.6112481402e-05    1.8025111880e-05   -7.8700743963e-06
   5.5600000    8.2471168321e-04   -2.0632451620e-04    1.3283707870e-04   -4.9787491768e-05    3.0730546248e-05   -1.6407235830e-05    1.8067342622e-05   -7.8768382511e-06
   5.6100000    8.1876465100e-04   -2.0642461320e-04    1.3229338886e-04   -4.9948288375e-05    3.0668788819e-05   -1.6676083541e-05    1.8109374204e-05   -7.8832554116e-06
   5.6600000    8.1281807837e-04   -2.0649100588e-04    1.3176102828e-04   -5.0147353992e-05    3.0611303627e-05   -1.6913546798e-05    1.8151152040e-05   -7.8891147110e-06
   5.7100000    8.0684298326e-04   -2.0650610937e-04    1.3123793373e-04   -5.0372249122e-05    3.0554361177e-05   -1.7114866935e-05    1.8192634960e-05   -7.8942017001e-06
   5.7600000    8.0078613082e-04   -2.0646495150e-04    1.3071550256e-04   -5.0609134702e-05    3.0494478634e-05   -1.7276025479e-05    1.8233794838e-05   -7.8982990355e-06
   5.8100000    7.9462903555e-04   -2.0638921065e-04    1.3019231348e-04   -5.0844157058e-05    3.0429509460e-05   -1.7393720516e-05    1.8274616050e-05   -7.9011874669e-06
   5.8600000    7.8840316910e-04   -2.0632018116e-04    1.2967225143e-04   -5.1064534668e-05    3.0359147426e-05   -1.7465344841e-05    1.8315094683e-05   -7.9026474059e-06
   5.9100000    7.8214947031e-04   -2.0629377367e-04    1.2915084130e-04   -5.1258968234e-05    3.0284736688e-05   -1.7489005580e-05    1.8355237751e-05   -7.9024609899e-06
