# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -1.4379811668e-09   -6.8691607812e-10   -1.4353353928e-10   -5.4677206795e-11    3.0691486749e-11    1.8747054771e-09   -8.7453632166e-11    1.2842826250e-10
   0.0600000   -1.8208834599e-09   -3.7589329897e-10   -2.2576054192e-10   -1.2693160231e-10    1.6401963000e-10    1.6852545804e-09   -5.4164615569e-11    6.2599639265e-10
   0.1100000   -2.3068045229e-09   -1.2967395132e-10   -2.3448580183e-10   -1.8202302280e-10    6.9455029972e-11    1.4953655598e-09   -4.0043101573e-11    8.5414944247e-10
   0.1600000   -2.8744833889e-09   -6.3924277511e-11   -1.6153441374e-10   -1.7797091238e-10   -2.2171826421e-10    1.2547200830e-09   -3.9423778481e-11    8.6409990064e-10
   0.2100000   -3.4496418899e-09   -2.5390113058e-10   -1.2633923100e-12   -4.2844989964e-11   -6.5545439736e-10    9.1283983077e-10   -4.7502082649e-11    7.0238510325e-10
   0.2600000   -3.9113560588e-09   -6.9739316651e-10    2.4072334392e-10    2.9191959710e-10   -1.1610986144e-09    4.5181667229e-10   -6.0595144018e-11    4.1003934009e-10
   0.3100000   -4.1288686507e-09   -1.3091318901e-09    5.3035048419e-10    8.3295512202e-10   -1.6597195944e-09   -9.3150316612e-11   -7.6063184423e-11    2.2414716780e-11
   0.3600000   -4.0158878033e-09   -1.9508525325e-09    7.9408693354e-10    1.4760205366e-09   -2.0743208591e-09   -6.3334426694e-10   -9.2108153925e-11   -4.3064231632e-10
   0.4100000   -3.5657529618e-09   -2.4831164869e-09    9.2537649019e-10    2.0119792886e-09   -2.3408367805e-09   -1.0475704338e-09   -1.0758017482e-10   -9.2440297237e-10
   0.4600000   -2.8470876937e-09   -2.8135457121e-09    8.1075139927e-10    2.2105607980e-09   -2.4182080597e-09   -1.2183468271e-09   -1.2179173991e-10   -1.4388051813e-09
   0.5100000   -1.9746770051e-09   -2.9179469312e-09    3.7191626505e-10    1.9537136420e-09   -2.2954153166e-09   -1.0715012209e-09   -1.3438540034e-10   -1.9579513770e-09
   0.5600000   -1.0804187021e-09   -2.8291898376e-09   -3.8400850585e-10    1.3375711639e-09   -1.9938118487e-09   -6.0592435408e-10   -1.4523720536e-10   -2.4695825251e-09
   0.6100000   -2.9087542911e-10   -2.6082268477e-09   -1.3210231721e-09    6.5346983223e-10   -1.5637484132e-09    9.7036127759e-11   -1.5436225397e-10   -2.9645880735e-09
   0.6600000    2.9380900520e-10   -2.3183311563e-09   -2.1636080704e-09    2.2955267882e-10   -1.0758089158e-09    8.8877254940e-10   -1.6186865565e-10   -3.4364953882e-09
   0.7100000    6.1720534950e-10   -2.0135895862e-09   -2.5525421479e-09    2.3307769577e-10   -6.0815952161e-10    1.5895469821e-09   -1.6789017096e-10   -3.8810602812e-09
   0.7600000    6.7150631925e-10   -1.7386586196e-09   -2.1831122120e-09    5.9231764300e-10   -2.3249457285e-10    2.0353813716e-09   -1.7258766327e-10   -4.2958250375e-09
   0.8100000    4.8856688161e-10   -1.5300288171e-09   -9.8656680279e-10    1.1084041106e-09   -1.5589537709e-12    2.1217991099e-09   -1.7609887877e-10   -4.6797800288e-09
   0.8600000    1.2581859668e-10   -1.4123409136e-09    7.5046242873e-10    1.6520855356e-09    5.9244112890e-11    1.8314214568e-09   -1.7854667989e-10   -5.0330254078e-09
   0.9100000   -3.4614680728e-10   -1.3900399606e-09    2.4412745807e-09    2.2578508419e-09   -4.5536275109e-11    1.2372592906e-09   -1.8002969626e-10   -5.3564985381e-09
   0.9600000   -8.5487030749e-10   -1.4414101129e-09    3.4486857308e-09    3.0327284462e-09   -2.8480127968e-10    4.8089360595e-10   -1.8063732864e-10   -5.6517217875e-09
   1.0100000   -1.3371762842e-09   -1.5234042829e-09    3.4036034382e-09    3.9768186434e-09   -6.0918623010e-10   -2.6763683228e-10   -1.8045196568e-10   -5.9206008063e-09
   1.0600000   -1.7470513907e-09   -1.5900425483e-09    2.3937290802e-09    4.8784802862e-09   -9.6197516876e-10   -8.5613888071e-10   -1.7957159421e-10   -6.1652438466e-09
   1.1100000   -2.0574161254e-09   -1.6154993194e-09    8.9741776128e-10    5.3611356615e-09   -1.2899872715e-09   -1.1890380407e-09   -1.7810746730e-10   -6.3878055212e-09
   1.1600000   -2.2577316034e-09   -1.6062852851e-09   -4.9125135964e-10    5.0498725447e-09   -1.5520793269e-09   -1.2475805838e-09   -1.7619752900e-10   -6.5903791327e-09
   1.2100000   -2.3503071428e-09   -1.5939394580e-09   -1.3666136790e-09    3.7869902940e-09   -1.7236614268e-09   -1.0865602896e-09   -1.7401743106e-10   -6.7748844355e-09
   1.2600000   -2.3463697220e-09   -1.6140066539e-09   -1.6645706759e-09    1.8115632509e-09   -1.7971218389e-09   -8.0990019089e-10   -1.7176786398e-10   -6.9430200370e-09
   1.3100000   -2.2620449731e-09   -1.6868944656e-09   -1.5999417703e-09   -2.1587252063e-10   -1.7788533485e-09   -5.3385545688e-10   -1.6967474729e-10   -7.0962180875e-09
   1.3600000   -2.1154045857e-09   -1.8108543931e-09   -1.4612077647e-09   -1.4384494968e-09   -1.6844809339e-09   -3.4998656009e-10   -1.6798313824e-10   -7.2356265573e-09
   1.4100000   -1.9262740608e-09   -1.9666898201e-09   -1.4080915415e-09   -1.2155781935e-09   -1.5340801045e-09   -2.9945597065e-10   -1.6695141264e-10   -7.3621187001e-09
   1.4600000   -1.7172591485e-09   -2.1273770180e-09   -1.3932714508e-09    5.1860922025e-10   -1.3485625708e-09   -3.6613740722e-10   -1.6682494608e-10   -7.4763227302e-09
   1.5100000   -1.5130190055e-09   -2.2661249968e-09   -1.2359156978e-09    3.1881101214e-09   -1.1479660622e-09   -4.8940235033e-10   -1.6783363839e-10   -7.5786590442e-09
   1.5600000   -1.3371502945e-09   -2.3613761644e-09   -7.7541652382e-10    5.8273684233e-09   -9.5116859740e-10   -5.9128417462e-10   -1.7016659347e-10   -7.6693860108e-09
   1.6100000   -1.2085482778e-09   -2.3990304938e-09    6.0041262494e-12    7.4851053704e-09   -7.7634789020e-10   -6.0796663566e-10   -1.7397151452e-10   -7.7486538359e-09
   1.6600000   -1.1381178731e-09   -2.3733921555e-09    9.6194768703e-10    7.5956284312e-09   -6.4104626570e-10   -5.1476112602e-10   -1.7933366432e-10   -7.8165504268e-09
   1.7100000   -1.1271319130e-09   -2.2872940149e-09    1.8505814435e-09    6.2146455398e-09   -5.6116962902e-10   -3.3619425994e-10   -1.8626878798e-10   -7.8731468906e-09
   1.7600000   -1.1672463947e-09   -2.1530507012e-09    2.4311022088e-09    4.0391283755e-09   -5.4871985232e-10   -1.3812046058e-10   -1.9471361531e-10   -7.9185461752e-09
   1.8100000   -1.2434184558e-09   -1.9967485698e-09    2.5358430273e-09    2.1348173758e-09   -6.0878249004e-10   -4.8828338159e-12   -2.0453021613e-10   -7.9528912592e-09
   1.8600000   -1.3385921451e-09   -1.8637178803e-09    2.1077312199e-09    1.4281327353e-09   -7.3685328771e-10   -9.5930958918e-12   -2.1550410560e-10   -7.9764136337e-09
   1.9100000   -1.4366938671e-09   -1.8128332237e-09    1.2160978269e-09    2.2337444162e-09   -9.1752840574e-10   -1.8767971555e-10   -2.2735084660e-10   -7.9894364011e-09
