#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            14.000000           14.000000           20.000000           20.000000           26.000000           26.000000           30.000000           30.000000
   0.0100000   -1.4376830595e-09   -6.8166479683e-10   -1.4352910748e-10   -5.4670956475e-11    3.0691313440e-11    1.8747065842e-09   -8.7453560190e-11    1.2842806438e-10
   0.0200000   -1.5064208960e-09   -6.1974028886e-10   -1.6531818056e-10   -6.9614418961e-11    7.6244613486e-11    1.8355555994e-09   -7.8981447142e-11    2.5206860385e-10
   0.0300000   -1.5788557110e-09   -5.5707733606e-10   -1.8454390949e-10   -8.4371315626e-11    1.1230767683e-10    1.7969223091e-09   -7.1460287783e-11    3.6321051707e-10
   0.0400000   -1.6552162672e-09   -4.9445645072e-10   -2.0109730741e-10   -9.8902060506e-11    1.3892551719e-10    1.7591249461e-09   -6.4849427496e-11    4.6228859364e-10
   0.0500000   -1.7356857850e-09   -4.3273576326e-10   -2.1486995760e-10   -1.1312494629e-10    1.5613599899e-10    1.7219815097e-09   -5.9100291599e-11    5.4973859180e-10
   0.0600000   -1.8203825391e-09   -3.7282067888e-10   -2.2575835822e-10   -1.2692613279e-10    1.6402059222e-10    1.6852548422e-09   -5.4164806549e-11    6.2599623195e-10
   0.0700000   -1.9093676067e-09   -3.1564262432e-10   -2.3368826017e-10   -1.4014740808e-10    1.6270334795e-10    1.6486284463e-09   -4.9995064622e-11    6.9148587454e-10
   0.0800000   -2.0026305787e-09   -2.6216773393e-10   -2.3858804415e-10   -1.5256764926e-10    1.5235505422e-10    1.6117436442e-09   -4.6546675690e-11    7.4663058761e-10
   0.0900000   -2.1000685719e-09   -2.1332475628e-10   -2.4039455389e-10   -1.6392189972e-10    1.3318873793e-10    1.5742027141e-09   -4.3767061975e-11    7.9185136504e-10
   0.1000000   -2.2015432953e-09   -1.7006158322e-10   -2.3904663689e-10   -1.7386557303e-10    1.0545781885e-10    1.5355637026e-09   -4.1614947606e-11    8.2755619336e-10
   0.1100000   -2.3067873694e-09   -1.3324391639e-10   -2.3448367054e-10   -1.8201943617e-10    6.9456661264e-11    1.4953670026e-09   -4.0042877004e-11    8.5414938496e-10
   0.1200000   -2.4154804305e-09   -1.0370747432e-10   -2.2665747713e-10   -1.8791673741e-10    2.5516253712e-11    1.4531375125e-09   -3.9008018209e-11    8.7203120663e-10
   0.1300000   -2.5271878111e-09   -8.2225293461e-11   -2.1550424018e-10   -1.9104757271e-10   -2.5991982149e-11    1.4084032639e-09   -3.8469509992e-11    8.8158996106e-10
   0.1400000   -2.6414002966e-09   -6.9471266737e-11   -2.0096682498e-10   -1.9084215111e-10   -8.4665066289e-11    1.3607104263e-09   -3.8384222547e-11    8.8320830509e-10
   0.1500000   -2.7575259718e-09   -6.6039242978e-11   -1.8298888602e-10   -1.8669713230e-10   -1.5006220660e-10    1.3096164137e-09   -3.8714402456e-11    8.7725572753e-10
   0.1600000   -2.8748513416e-09   -7.2414617350e-11   -1.6152939193e-10   -1.7797300369e-10   -2.2171829981e-10    1.2547201955e-09   -3.9423623531e-11    8.6410012564e-10
   0.1700000   -2.9926098537e-09   -8.8972271637e-11   -1.3654709255e-10   -1.6400230613e-10   -2.9912717244e-10    1.1956638495e-09   -4.0479165268e-11    8.4409532670e-10
   0.1800000   -3.1099379618e-09   -1.1596964596e-10   -1.0801782964e-10   -1.4412778856e-10   -3.8177004949e-10    1.1321493955e-09   -4.1842752002e-11    8.1758745096e-10
   0.1900000   -3.2258906865e-09   -1.5353451242e-10   -7.5936312290e-11   -1.1771171592e-10   -4.6909106637e-10    1.0639362283e-09   -4.3487913226e-11    7.8491635290e-10
   0.2000000   -3.3394661338e-09   -2.0168817726e-10   -4.0330305335e-11   -8.4130426399e-11   -5.6051542064e-10    9.9086354068e-10   -4.5384316292e-11    7.4640997958e-10
   0.2100000   -3.4496060089e-09   -2.6029428320e-10   -1.2630647884e-12   -4.2843905013e-11   -6.5545520065e-10    9.1284096155e-10   -4.7502098893e-11    7.0238509863e-10
   0.2200000   -3.5552346342e-09   -3.2910159235e-10    4.1166076357e-11    6.6361454223e-12   -7.5329806419e-10    8.2987549074e-10   -4.9818590429e-11    6.5315345590e-10
   0.2300000   -3.6552142210e-09   -4.0773028910e-10    8.6813701848e-11    6.4673332468e-11   -8.5342052251e-10    7.4205590039e-10   -5.2308537593e-11    5.9901743505e-10
   0.2400000   -3.7484581128e-09   -4.9567467581e-10    1.3547115134e-10    1.3152218615e-10   -9.5519086664e-10    6.4957086754e-10   -5.4947821879e-11    5.4026435922e-10
   0.2500000   -3.8338458523e-09   -5.9227340612e-10    1.8688217435e-10    2.0729159033e-10   -1.0579635275e-09    5.5270016029e-10   -5.7716306436e-11    4.7718132680e-10
   0.2600000   -3.9103341830e-09   -6.9680291729e-10    2.4072088685e-10    2.9192562318e-10   -1.1610974587e-09    4.5181983031e-10   -6.0595500422e-11    4.1003963752e-10
   0.2700000   -3.9769231020e-09   -8.0838804280e-10    2.9660217017e-10    3.8519019778e-10   -1.2639446679e-09    3.4739803850e-10   -6.3567628741e-11    3.3910531484e-10
   0.2800000   -4.0326788688e-09   -9.2607538989e-10    3.5406304624e-10    4.8665350139e-10   -1.3658613877e-09    2.4000052617e-10   -6.6615175971e-11    2.6463187048e-10
   0.2900000   -4.0767719557e-09   -1.0488041375e-09    4.1258438273e-10    5.9569885665e-10   -1.4662126021e-09    1.3028020982e-10   -6.9723380040e-11    1.8686732597e-10
   0.3000000   -4.1084866630e-09   -1.1754709003e-09    4.7156626234e-10    7.1148364125e-10   -1.5643686692e-09    1.8960803687e-11   -7.2877824024e-11    1.0605195932e-10
   0.3100000   -4.1272213792e-09   -1.3048950066e-09    5.3034977795e-10    8.3296147341e-10   -1.6597180849e-09   -9.3144185485e-11   -7.6063532061e-11    2.2415006036e-11
