# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time           min_lapse             min_chi           max_abs_K         min_lapse_x         min_lapse_y         min_lapse_z             min_phi             max_phi              min_Pi              max_Pi
   0.0000000    2.1358089105e-01    2.4434911179e-08    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7376492108e-01   -1.4403273664e-01    0.0000000000e+00    0.0000000000e+00
   0.0500000    2.1363652420e-01    2.6216726973e-08    3.1228345703e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7359600475e-01   -1.4403272686e-01   -3.3314614284e-05    2.1438421107e-05
   0.1000000    2.1368905443e-01    2.7981455066e-08    5.8647577955e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7343650496e-01   -1.4403272197e-01   -6.6484707287e-05    4.2837386968e-05
   0.1500000    2.1373877192e-01    2.9730133981e-08    8.2747272579e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7328553761e-01   -1.4403272172e-01   -9.9330002679e-05    6.4147070414e-05
   0.2000000    2.1378593229e-01    3.1463705046e-08    1.0393341459e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7314232320e-01   -1.4403271800e-01   -1.3164164925e-04    8.5306744558e-05
   0.2500000    2.1383076132e-01    3.3183023708e-08    1.2254198563e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7300617244e-01   -1.4403271533e-01   -1.6319270413e-04    1.0624843637e-04
   0.3000000    2.1387345901e-01    3.4888869305e-08    1.3885023578e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7287647411e-01   -1.4403271273e-01   -1.9374864840e-04    1.2690045443e-04
   0.3500000    2.1391420304e-01    3.6581953534e-08    1.5308760405e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7275268474e-01   -1.4403270971e-01   -2.2307711721e-04    1.4718806674e-04
   0.4000000    2.1395315163e-01    3.8262927865e-08    1.6544423372e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7263431978e-01   -1.4403270673e-01   -2.5095638033e-04    1.6703410651e-04
   0.4500000    2.1399044605e-01    3.9932389995e-08    1.7607901026e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7252094611e-01   -1.4403270417e-01   -2.7718277110e-04    1.8636561839e-04
   0.5000000    2.1402621281e-01    4.1590889792e-08    1.8512802976e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7241217549e-01   -1.4403270171e-01   -3.0157818166e-04    2.0511113139e-04
   0.5500000    2.1406056550e-01    4.3238935192e-08    1.9270718164e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7230765890e-01   -1.4403269896e-01   -3.2399339909e-04    2.2320390049e-04
   0.6000000    2.1409360646e-01    4.4876995676e-08    1.9892104998e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7220708160e-01   -1.4403269599e-01   -3.4431330617e-04    2.4058725032e-04
   0.6500000    2.1412542821e-01    4.6505506730e-08    2.0386361249e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7211015875e-01   -1.4403269313e-01   -3.6245820062e-04    2.5720854747e-04
   0.7000000    2.1415611477e-01    4.8124873343e-08    2.0762318124e-02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.7201663134e-01   -1.4403269050e-01   -3.7838419571e-04    2.7302300009e-04
