# time  R14_phi_l0_m0_re  R14_phi_l0_m0_im  R14_phi_l1_m-1_re  R14_phi_l1_m-1_im  R14_phi_l1_m0_re  R14_phi_l1_m0_im  R14_phi_l1_m1_re  R14_phi_l1_m1_im  R14_phi_l2_m-2_re  R14_phi_l2_m-2_im  R14_phi_l2_m-1_re  R14_phi_l2_m-1_im  R14_phi_l2_m0_re  R14_phi_l2_m0_im  R14_phi_l2_m1_re  R14_phi_l2_m1_im  R14_phi_l2_m2_re  R14_phi_l2_m2_im  R14_Pi_l0_m0_re  R14_Pi_l0_m0_im  R14_Pi_l1_m-1_re  R14_Pi_l1_m-1_im  R14_Pi_l1_m0_re  R14_Pi_l1_m0_im  R14_Pi_l1_m1_re  R14_Pi_l1_m1_im  R14_Pi_l2_m-2_re  R14_Pi_l2_m-2_im  R14_Pi_l2_m-1_re  R14_Pi_l2_m-1_im  R14_Pi_l2_m0_re  R14_Pi_l2_m0_im  R14_Pi_l2_m1_re  R14_Pi_l2_m1_im  R14_Pi_l2_m2_re  R14_Pi_l2_m2_im  R14_scalar_flux_kin  R30_phi_l0_m0_re  R30_phi_l0_m0_im  R30_phi_l1_m-1_re  R30_phi_l1_m-1_im  R30_phi_l1_m0_re  R30_phi_l1_m0_im  R30_phi_l1_m1_re  R30_phi_l1_m1_im  R30_phi_l2_m-2_re  R30_phi_l2_m-2_im  R30_phi_l2_m-1_re  R30_phi_l2_m-1_im  R30_phi_l2_m0_re  R30_phi_l2_m0_im  R30_phi_l2_m1_re  R30_phi_l2_m1_im  R30_phi_l2_m2_re  R30_phi_l2_m2_im  R30_Pi_l0_m0_re  R30_Pi_l0_m0_im  R30_Pi_l1_m-1_re  R30_Pi_l1_m-1_im  R30_Pi_l1_m0_re  R30_Pi_l1_m0_im  R30_Pi_l1_m1_re  R30_Pi_l1_m1_im  R30_Pi_l2_m-2_re  R30_Pi_l2_m-2_im  R30_Pi_l2_m-1_re  R30_Pi_l2_m-1_im  R30_Pi_l2_m0_re  R30_Pi_l2_m0_im  R30_Pi_l2_m1_re  R30_Pi_l2_m1_im  R30_Pi_l2_m2_re  R30_Pi_l2_m2_im  R30_scalar_flux_kin
0.0000000000000000e+00  4.1344334368682200e-04  0.0000000000000000e+00  -7.7766839236483720e-01  1.0025642271304612e-16  -1.7444372046980657e-07  0.0000000000000000e+00  7.7766839236483720e-01  1.0025642271304612e-16  -3.7759478583596442e-04  -1.4050489212741480e-17  3.3992230178878091e-04  1.8132791643897430e-18  -4.2713350394736971e-07  0.0000000000000000e+00  -3.3992230178878091e-04  1.8132791643897430e-18  -3.7759478583596442e-04  1.4050489212741480e-17  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  -0.0000000000000000e+00  5.4836698989719649e-05  0.0000000000000000e+00  -3.6481753960771934e-01  -1.8208144069944184e-04  4.6375053862172944e-19  0.0000000000000000e+00  3.6481753960771934e-01  -1.8208144069944184e-04  -1.7264347526227376e-05  -8.1303925235426902e-18  2.6020852139652106e-17  2.6681537838510461e-19  8.0329744424071685e-05  0.0000000000000000e+00  -2.6020852139652106e-17  2.6681537838510461e-19  -1.7264347526227376e-05  8.1303925235426902e-18  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  -0.0000000000000000e+00
1.0000000000000000e+00  4.1340899539221883e-04  0.0000000000000000e+00  -7.7765779156047521e-01  1.9075377286318123e-05  -1.7441319720203164e-07  0.0000000000000000e+00  7.7765779156047521e-01  1.9075377286318123e-05  -3.7762695970837212e-04  -1.2621763575091861e-17  3.3991304528627198e-04  -2.3050158745167576e-08  -4.1086930064522203e-07  0.0000000000000000e+00  -3.3991304528627198e-04  -2.3050158745167576e-08  -3.7762695970837212e-04  1.2621763575091861e-17  -9.5509749259629431e-08  0.0000000000000000e+00  2.5534400230093889e-05  5.6782331487178032e-05  8.2874112003420743e-11  0.0000000000000000e+00  -2.5534400230093889e-05  5.6782331487178032e-05  -9.1562811965684330e-08  2.0442200700090576e-16  -2.2863800894487969e-08  -6.7878531676364240e-08  4.3968377925354542e-08  0.0000000000000000e+00  2.2863800894487969e-08  -6.7878531676364240e-08  -9.1562811965684330e-08  -2.0442200700090576e-16  -6.0568440609769266e-06  5.4836049084916973e-05  0.0000000000000000e+00  -3.6481719793728151e-01  -1.8166191172236569e-04  -2.6681537838510461e-19  0.0000000000000000e+00  3.6481719793728151e-01  -1.8166191172236569e-04  -1.7264987868743251e-05  -1.5446856384933335e-17  0.0000000000000000e+00  3.0493186101154812e-19  8.0329928562223622e-05  0.0000000000000000e+00  0.0000000000000000e+00  3.0493186101154812e-19  -1.7264987868743251e-05  1.5446856384933335e-17  -1.9603506569746707e-09  0.0000000000000000e+00  7.4168973578903338e-07  1.2970775557970390e-06  -1.8113211050952078e-18  0.0000000000000000e+00  -7.4168973578903338e-07  1.2970775557970390e-06  -1.9833654026970018e-09  1.6640298108460514e-17  -1.1069512936919378e-17  2.1440521477374477e-18  6.2373967085537334e-10  0.0000000000000000e+00  1.1069512936919378e-17  2.1440521477374477e-18  -1.9833654026970018e-09  -1.6640298108460514e-17  -3.5929352492265145e-08
2.0000000000000000e+00  4.1318787991993398e-04  0.0000000000000000e+00  -7.7762159718850898e-01  1.4979314227780315e-04  -1.7421703001162649e-07  0.0000000000000000e+00  7.7762159718850898e-01  1.4979314227780315e-04  -3.7785395236235791e-04  -1.8067955702371270e-17  3.3988061490106830e-04  -1.8021440580513027e-07  -3.0222614661606996e-07  0.0000000000000000e+00  -3.3988061490106830e-04  -1.8021440580513027e-07  -3.7785395236235791e-04  1.8067955702371270e-17  -3.7227034334034293e-07  0.0000000000000000e+00  6.0419129359702975e-05  2.2967961252781641e-04  3.2366842562566194e-10  0.0000000000000000e+00  -6.0419129359702975e-05  2.2967961252781641e-04  -3.8134083977505132e-07  -6.1051978706722218e-18  -5.5336991579681564e-08  -2.7457740281705800e-07  1.7695189993826299e-07  0.0000000000000000e+00  5.5336991579681564e-08  -2.7457740281705800e-07  -3.8134083977505132e-07  6.1051978706722218e-18  -1.4342483231963212e-05  5.4831676958799581e-05  0.0000000000000000e+00  -3.6481613156658266e-01  -1.7872460286728577e-04  -8.0679888225972107e-19  0.0000000000000000e+00  3.6481613156658266e-01  -1.7872460286728577e-04  -1.7269519629822291e-05  -1.1668010712649855e-17  2.6020852139652106e-17  -3.8116482626443515e-20  8.0331466771196687e-05  0.0000000000000000e+00  -2.6020852139652106e-17  -3.8116482626443515e-20  -1.7269519629822291e-05  1.1668010712649855e-17  -7.7122045853901926e-09  0.0000000000000000e+00  1.5727964575994973e-06  5.2268555560657281e-06  -5.9830365324281747e-18  0.0000000000000000e+00  -1.5727964575994973e-06  5.2268555560657281e-06  -8.0472298817797999e-09  4.8526115166312691e-17  4.3824028853059406e-19  -4.3897482491454115e-18  2.7811603910619926e-09  0.0000000000000000e+00  -4.3824028853059406e-19  -4.3897482491454115e-18  -8.0472298817797999e-09  -4.8526115166312691e-17  -7.6211771097462507e-08
2.9999999999999800e+00  4.1260850804662817e-04  0.0000000000000000e+00  -7.7754692954509752e-01  5.0103055777651938e-04  -1.7370588217930722e-07  0.0000000000000000e+00  7.7754692954509752e-01  5.0103055777651938e-04  -3.7846175376659517e-04  -1.9118138107611576e-17  3.3981139294580326e-04  -6.0080526884745422e-07  -1.7073832034598924e-08  0.0000000000000000e+00  -3.3981139294580326e-04  -6.0080526884745422e-07  -3.7846175376659517e-04  1.9118138107611576e-17  -8.4073555574509567e-07  0.0000000000000000e+00  1.1441847395943294e-04  5.2589829562006457e-04  7.3029879044947509e-10  0.0000000000000000e+00  -1.1441847395943294e-04  5.2589829562006457e-04  -8.7672539365023470e-07  -4.8297478876814593e-17  -1.0782347454727251e-07  -6.2892895196843364e-07  4.0186032530622087e-07  0.0000000000000000e+00  1.0782347454727251e-07  -6.2892895196843364e-07  -8.7672539365023470e-07  4.8297478876814593e-17  -2.6990001725410837e-05  5.4819931245099037e-05  0.0000000000000000e+00  -3.6481422643626049e-01  -1.7073354017224106e-04  -1.1307889845844910e-18  0.0000000000000000e+00  3.6481422643626049e-01  -1.7073354017224106e-04  -1.7281866711430584e-05  -6.0709395297840218e-18  2.6020852139652106e-17  1.8550021544869177e-18  8.0335827736294040e-05  0.0000000000000000e+00  -2.6020852139652106e-17  1.8550021544869177e-18  -1.7281866711430584e-05  6.0709395297840218e-18  -1.7387679138175211e-08  0.0000000000000000e+00  2.5798164297573030e-06  1.1881608400357468e-05  -9.6902037411479240e-18  0.0000000000000000e+00  -2.5798164297573030e-06  1.1881608400357468e-05  -1.8317538259775374e-08  3.6583233473972446e-17  -2.4863063979873885e-18  -1.3222449004435645e-17  6.5025784820263100e-09  0.0000000000000000e+00  2.4863063979873885e-18  -1.3222449004435645e-17  -1.8317538259775374e-08  -3.6583233473972446e-17  -1.2501652619155329e-07
3.9999999999999600e+00  4.1149511197296053e-04  0.0000000000000000e+00  -7.7741150879153731e-01  1.1868434724828861e-03  -1.7272841502833527e-07  0.0000000000000000e+00  7.7741150879153731e-01  1.1868434724828861e-03  -3.7963675339758968e-04  -4.5759862269824393e-17  3.3968221403078702e-04  -1.4197789707759119e-06  5.2731028463855913e-07  0.0000000000000000e+00  -3.3968221403078702e-04  -1.4197789707759119e-06  -3.7963675339758968e-04  4.5759862269824393e-17  -1.5163920237933982e-06  0.0000000000000000e+00  1.9895873569350666e-04  9.5753455001474264e-04  1.3171161284469697e-09  0.0000000000000000e+00  -1.9895873569350666e-04  9.5753455001474264e-04  -1.5904171944890946e-06  2.2482273969465465e-16  -1.8981217442389317e-07  -1.1456838015912950e-06  7.2277411153996676e-07  0.0000000000000000e+00  1.8981217442389317e-07  -1.1456838015912950e-06  -1.5904171944890946e-06  -2.2482273969465465e-16  -4.6124829541045482e-05  5.4797033964511566e-05  0.0000000000000000e+00  -3.6481128260951740e-01  -1.5505863046338632e-04  -6.9244943438039053e-19  0.0000000000000000e+00  3.6481128260951740e-01  -1.5505863046338632e-04  -1.7306072512449678e-05  -1.1700452800897671e-17  0.0000000000000000e+00  3.8116482626443515e-19  8.0344506771829499e-05  0.0000000000000000e+00  0.0000000000000000e+00  3.8116482626443515e-19  -1.7306072512449678e-05  1.1700452800897671e-17  -3.1204751124843627e-08  0.0000000000000000e+00  3.8596871046063251e-06  2.1417959695406899e-05  2.4155684969412678e-18  0.0000000000000000e+00  -3.8596871046063251e-06  2.1417959695406899e-05  -3.3010786002769951e-08  -6.9863263825636989e-18  -3.6180879993069430e-18  1.2483148060160251e-18  1.1850276855837043e-08  0.0000000000000000e+00  3.6180879993069430e-18  1.2483148060160251e-18  -3.3010786002769951e-08  6.9863263825636989e-18  -1.8692755610568030e-07
4.9999999999999396e+00  4.0965940097492502e-04  0.0000000000000000e+00  -7.7718162256469736e-01  2.3327347538252903e-03  -1.7112786429430266e-07  0.0000000000000000e+00  7.7718162256469736e-01  2.3327347538252903e-03  -3.8157483768790003e-04  -5.3241436338101949e-17  3.3945836733053486e-04  -2.7841377587274456e-06  1.4154588431726221e-06  0.0000000000000000e+00  -3.3945836733053486e-04  -2.7841377587274456e-06  -3.8157483768790003e-04  5.3241436338101949e-17  -2.4180742531542988e-06  0.0000000000000000e+00  3.2814286311384934e-04  1.5415724195571735e-03  2.0877904415622900e-09  0.0000000000000000e+00  -3.2814286311384934e-04  1.5415724195571735e-03  -2.5384237352785399e-06  -1.7654425411895688e-16  -3.2015377457298067e-07  -1.8421512194050944e-06  1.1433864107931544e-06  0.0000000000000000e+00  3.2015377457298067e-07  -1.8421512194050944e-06  -2.5384237352785399e-06  1.7654425411895688e-16  -7.3824956528905036e-05  5.4758972699390163e-05  0.0000000000000000e+00  -3.6480700547263678e-01  -1.2889871006560184e-04  -1.0799670077492329e-18  0.0000000000000000e+00  3.6480700547263678e-01  -1.2889871006560184e-04  -1.7346415798852963e-05  -1.1380578471419978e-17  0.0000000000000000e+00  -5.2092526256139471e-19  8.0359068278395234e-05  0.0000000000000000e+00  0.0000000000000000e+00  -5.2092526256139471e-19  -1.7346415798852963e-05  1.1380578471419978e-17  -4.9477745723769513e-08  0.0000000000000000e+00  5.5210488077035149e-06  3.4062753501309240e-05  -2.5800962717417135e-17  0.0000000000000000e+00  -5.5210488077035149e-06  3.4062753501309240e-05  -5.2447340205709947e-08  4.6991765765812765e-17  -1.9761013961646810e-18  -2.7867913360258515e-17  1.8923725923253653e-08  0.0000000000000000e+00  1.9761013961646810e-18  -2.7867913360258515e-17  -5.2447340205709947e-08  -4.6991765765812765e-17  -2.6696773847118004e-07
5.9999999999999201e+00  4.0689797097975355e-04  0.0000000000000000e+00  -7.7680894738251882e-01  4.0805732405756398e-03  -1.6874350156943982e-07  0.0000000000000000e+00  7.7680894738251882e-01  4.0805732405756398e-03  -3.8448363271432681e-04  -4.0548702217416687e-17  3.3908970294690977e-04  -4.8589036142622456e-06  2.7325134900974682e-06  0.0000000000000000e+00  -3.3908970294690977e-04  -4.8589036142622456e-06  -3.8448363271432681e-04  4.0548702217416687e-17  -3.5621393782454766e-06  0.0000000000000000e+00  5.2000453851361425e-04  2.2997532501873624e-03  3.0479037264413768e-09  0.0000000000000000e+00  -5.2000453851361425e-04  2.2997532501873624e-03  -3.7328019019780436e-06  -2.2980792867574152e-16  -5.1211139844379168e-07  -2.7445529161425716e-06  1.6613672307978318e-06  0.0000000000000000e+00  5.1211139844379168e-07  -2.7445529161425716e-06  -3.7328019019780436e-06  2.2980792867574152e-16  -1.1202126762764440e-04  5.4701397669042935e-05  0.0000000000000000e+00  -3.6480099412339279e-01  -8.9206359178985449e-05  -3.4050724479622874e-18  0.0000000000000000e+00  3.6480099412339279e-01  -8.9206359178985449e-05  -1.7407519660927633e-05  -2.0321693136706591e-18  0.0000000000000000e+00  -1.4547790869092608e-18  8.0381184422577309e-05  0.0000000000000000e+00  0.0000000000000000e+00  -1.4547790869092608e-18  -1.7407519660927633e-05  2.0321693136706591e-18  -7.2628487361993982e-08  0.0000000000000000e+00  7.6899781687772599e-06  5.0123404533872283e-05  -1.0372934837306582e-17  0.0000000000000000e+00  -7.6899781687772599e-06  5.0123404533872283e-05  -7.7059161192009217e-08  1.1526579457806815e-18  -8.0147845655978000e-18  -9.8404052647268342e-18  2.7860766662400777e-08  0.0000000000000000e+00  8.0147845655978000e-18  -9.8404052647268342e-18  -7.7059161192009217e-08  -1.1526579457806815e-18  -3.7084752540605011e-07
6.9999999999998996e+00  4.0299648807040980e-04  0.0000000000000000e+00  -7.7622626525231042e-01  6.5927681196095746e-03  -1.6541678660762316e-07  0.0000000000000000e+00  7.7622626525231042e-01  6.5927681196095746e-03  -3.8857658041990947e-04  -6.8336281502644066e-17  3.3850826990135252e-04  -7.8306882017902717e-06  4.5569267224128215e-06  0.0000000000000000e+00  -3.3850826990135252e-04  -7.8306882017902717e-06  -3.8857658041990947e-04  6.8336281502644066e-17  -4.9577250701799061e-06  0.0000000000000000e+00  7.9786287505319417e-04  3.2578829620839699e-03  4.1853169065376096e-09  0.0000000000000000e+00  -7.9786287505319417e-04  3.2578829620839699e-03  -5.1765824101674076e-06  -3.1269994081757835e-16  -7.9038055276326293e-07  -3.8788182754001218e-06  2.2645581310665858e-06  0.0000000000000000e+00  7.9038055276326293e-07  -3.8788182754001218e-06  -5.1765824101674076e-06  3.1269994081757835e-16  -1.6231740429441951e-04  5.4619507350125148e-05  0.0000000000000000e+00  -3.6479272187308648e-01  -3.2604601968991176e-05  -1.5246593050577406e-18  0.0000000000000000e+00  3.6479272187308648e-01  -3.2604601968991176e-05  -1.7494472012337076e-05  -1.0355317053481939e-17  -2.6020852139652106e-17  2.7507394962083404e-18  8.0412678223377160e-05  0.0000000000000000e+00  2.6020852139652106e-17  2.7507394962083404e-18  -1.7494472012337076e-05  1.0355317053481939e-17  -1.0121249951119286e-07  0.0000000000000000e+00  1.0512038142606000e-05  7.0000409210062232e-05  -1.6316106563335500e-17  0.0000000000000000e+00  -1.0512038142606000e-05  7.0000409210062232e-05  -1.0742093741719451e-07  3.9329979016393958e-17  -2.0076269036703020e-17  -1.3976043629695956e-19  3.8852770887494543e-08  0.0000000000000000e+00  2.0076269036703020e-17  -1.3976043629695956e-19  -1.0742093741719451e-07  -3.9329979016393958e-17  -5.0488739006586615e-07
7.9999999999998703e+00  3.9774013209033996e-04  0.0000000000000000e+00  -7.7534234282139092e-01  1.0055500443553146e-02  -1.6101180561589986e-07  0.0000000000000000e+00  7.7534234282139092e-01  1.0055500443553146e-02  -3.9405952283405891e-04  -8.1583270215818380e-17  3.3762459258510069e-04  -1.1908589024076403e-05  6.9481611317699076e-06  0.0000000000000000e+00  -3.3762459258510069e-04  -1.1908589024076403e-05  -3.9405952283405891e-04  8.1583270215818380e-17  -6.5979689742058668e-06  0.0000000000000000e+00  1.1910244869406126e-03  4.4447331401536519e-03  5.4603104703323123e-09  0.0000000000000000e+00  -1.1910244869406126e-03  4.4447331401536519e-03  -6.8530948963878875e-06  2.7438498410139456e-16  -1.1797621087031003e-06  -5.2719579200630662e-06  2.9238456835823259e-06  0.0000000000000000e+00  1.1797621087031003e-06  -5.2719579200630662e-06  -6.8530948963878875e-06  -2.7438498410139456e-16  -2.2552675629927956e-04  5.4507910008722767e-05  0.0000000000000000e+00  -3.6478151596044384e-01  4.4707235437508266e-05  -5.5205372337299025e-18  0.0000000000000000e+00  3.6478151596044384e-01  4.4707235437508266e-05  -1.7612972914835271e-05  -1.0954656905538344e-18  0.0000000000000000e+00  -9.4655931855668063e-19  8.0455578900647066e-05  0.0000000000000000e+00  0.0000000000000000e+00  -9.4655931855668063e-19  -1.7612972914835271e-05  1.0954656905538344e-18  -1.3593563153960585e-07  0.0000000000000000e+00  1.4154619204730334e-05  9.4202645554791051e-05  1.9363675686455432e-17  0.0000000000000000e+00  -1.4154619204730334e-05  9.4202645554791051e-05  -1.4426502203304570e-07  -1.1519023953869309e-17  -2.5481662729165541e-17  -1.5678579853677099e-17  5.2145640771388472e-08  0.0000000000000000e+00  2.5481662729165541e-17  -1.5678579853677099e-17  -1.4426502203304570e-07  1.1519023953869309e-17  -6.7605980863046714e-07
8.9999999999998508e+00  3.9093350912318132e-04  0.0000000000000000e+00  -7.7403620862036626e-01  1.4680093717906365e-02  -1.5544957630298165e-07  0.0000000000000000e+00  7.7403620862036626e-01  1.4680093717906365e-02  -4.0110646247165221e-04  -1.0762380661741105e-16  3.3632621272595975e-04  -1.7322205504436772e-05  9.9270921872457369e-06  0.0000000000000000e+00  -3.3632621272595975e-04  -1.7322205504436772e-05  -4.0110646247165221e-04  1.0762380661741105e-16  -8.4488552899155863e-06  0.0000000000000000e+00  1.7353803003577230e-03  5.8894034021798412e-03  6.7884512881116553e-09  0.0000000000000000e+00  -1.7353803003577230e-03  5.8894034021798412e-03  -8.7143895138446455e-06  1.5458138123332090e-16  -1.7075790397920421e-06  -6.9461401776856188e-06  3.5848122703275356e-06  0.0000000000000000e+00  1.7075790397920421e-06  -6.9461401776856188e-06  -8.7143895138446455e-06  -1.5458138123332090e-16  -3.0125153929118082e-04  5.4360492101173404e-05  0.0000000000000000e+00  -3.6476653103334994e-01  1.4706816184098566e-04  -1.0285097562035342e-17  0.0000000000000000e+00  3.6476653103334994e-01  1.4706816184098566e-04  -1.7769466453845729e-05  -5.3926447712715475e-18  2.6020852139652106e-17  -1.3976043629695956e-18  8.0512154111232623e-05  0.0000000000000000e+00  -2.6020852139652106e-17  -1.3976043629695956e-18  -1.7769466453845729e-05  5.3926447712715475e-18  -1.7764423357727815e-07  0.0000000000000000e+00  1.8832123711362547e-05  1.2337295108246047e-04  -1.9838810298257422e-18  0.0000000000000000e+00  -1.8832123711362547e-05  1.2337295108246047e-04  -1.8845912939502461e-07  -5.2047977434598079e-18  -2.6247962848634666e-17  1.4528732627779387e-17  6.8007901014179736e-08  0.0000000000000000e+00  2.6247962848634666e-17  1.4528732627779387e-17  -1.8845912939502461e-07  5.2047977434598079e-18  -8.9297495052136121e-07
