# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time          separation                  xA                  yA                  zA            chiA_min          lapseA_min                  xB                  yB                  zB            chiB_min          lapseB_min             theta_A              ah_r_A             theta_B              ah_r_B        theta_common         ah_r_common
   0.0000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.4434989518e-08    2.1358089105e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.4434989518e-08    2.1358089105e-01    1.4888941757e-01    0.0000000000e+00    1.4888941757e-01    0.0000000000e+00    1.4293281361e-01    0.0000000000e+00
   0.0500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.6216947596e-08    2.1363652420e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.6216947596e-08    2.1363652420e-01    1.4875574800e-01    0.0000000000e+00    1.4875574800e-01    0.0000000000e+00    1.4290511219e-01    0.0000000000e+00
   0.1000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.7981817793e-08    2.1368905443e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.7981817793e-08    2.1368905443e-01    1.4856724066e-01    0.0000000000e+00    1.4856724066e-01    0.0000000000e+00    1.4280011464e-01    0.0000000000e+00
   0.1500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.9730638645e-08    2.1373877192e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    2.9730638645e-08    2.1373877192e-01    1.4833621904e-01    0.0000000000e+00    1.4833621904e-01    0.0000000000e+00    1.4263334772e-01    0.0000000000e+00
   0.2000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.1464351491e-08    2.1378593229e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.1464351491e-08    2.1378593229e-01    1.4807281153e-01    0.0000000000e+00    1.4807281153e-01    0.0000000000e+00    1.4241775822e-01    0.0000000000e+00
   0.2500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.3183811781e-08    2.1383076131e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.3183811781e-08    2.1383076131e-01    1.4778528069e-01    0.0000000000e+00    1.4778528069e-01    0.0000000000e+00    1.4216408548e-01    0.0000000000e+00
   0.3000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.4889798845e-08    2.1387345901e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.4889798845e-08    2.1387345901e-01    1.4748031276e-01    0.0000000000e+00    1.4748031276e-01    0.0000000000e+00    1.4188118937e-01    0.0000000000e+00
   0.3500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.6583024340e-08    2.1391420302e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.6583024340e-08    2.1391420302e-01    1.4716327213e-01    0.0000000000e+00    1.4716327213e-01    0.0000000000e+00    1.4157633889e-01    0.0000000000e+00
   0.4000000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.8264139629e-08    2.1395315154e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.8264139629e-08    2.1395315154e-01    1.4683842430e-01    0.0000000000e+00    1.4683842430e-01    0.0000000000e+00    1.4125546509e-01    0.0000000000e+00
   0.4500000    3.1250000000e-02    1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.9933742199e-08    2.1399044579e-01   -1.5625000000e-02    0.0000000000e+00    0.0000000000e+00    3.9933742199e-08    2.1399044579e-01    1.4650913129e-01    0.0000000000e+00    1.4650913129e-01    0.0000000000e+00    1.4092338179e-01    0.0000000000e+00
