# time  centre  cx  cy  cz  R_min  r_at_R_min  dev  log10_abs_dev  n_mots  r_mots  R_mots  M_MS_mots  theta_out_min_inside  theta_out_max_at_R_min  theta_in_max_at_R_min  n_trapped  n_anti_trapped  n_outermost
0.0000000000000000e+00  A  35.968750  32.000000  32.000000  4.4509121984e+00  1.610000  1.443405e-01  -0.8406  0  nan  nan  nan  +nan  +1.394581e-02  +1.819906e-02  0  0  0
0.0000000000000000e+00  B  28.031250  32.000000  32.000000  4.4509267591e+00  1.610000  1.443442e-01  -0.8406  0  nan  nan  nan  +nan  +1.394581e-02  +1.819906e-02  0  0  0
0.0000000000000000e+00  C  32.000000  32.000000  32.000000  8.5985780768e+00  5.168750  1.210716e+00  0.0830  0  nan  nan  nan  +nan  +2.239054e-01  +5.041715e-01  0  0  0
1.0000000000000000e+00  A  35.968750  32.000000  32.000000  4.4508652613e+00  1.610000  1.443284e-01  -0.8406  0  nan  nan  nan  +nan  +1.200270e-02  +1.965748e-02  0  0  0
1.0000000000000000e+00  B  28.031250  32.000000  32.000000  4.4508779807e+00  1.610000  1.443317e-01  -0.8406  0  nan  nan  nan  +nan  +1.200270e-02  +1.965748e-02  0  0  0
1.0000000000000000e+00  C  32.000000  32.000000  32.000000  8.5957386349e+00  5.168750  1.209986e+00  0.0828  0  nan  nan  nan  +nan  +2.219196e-01  +5.032885e-01  0  0  0
2.0000000000000000e+00  A  35.968750  32.000000  32.000000  4.4507591538e+00  1.610000  1.443011e-01  -0.8407  0  nan  nan  nan  +nan  +7.707827e-03  +1.938914e-02  0  0  0
2.0000000000000000e+00  B  28.031250  32.000000  32.000000  4.4507670710e+00  1.610000  1.443031e-01  -0.8407  0  nan  nan  nan  +nan  +7.707827e-03  +1.938914e-02  0  0  0
2.0000000000000000e+00  C  32.000000  32.000000  32.000000  8.5853032013e+00  5.168750  1.207303e+00  0.0818  0  nan  nan  nan  +nan  +2.199757e-01  +5.015280e-01  0  0  0
2.9999999999999800e+00  A  35.968750  32.000000  32.000000  4.4506596058e+00  1.610000  1.442755e-01  -0.8408  0  nan  nan  nan  +nan  +1.293006e-02  +1.323315e-02  0  0  0
2.9999999999999800e+00  B  28.031250  32.000000  32.000000  4.4506611611e+00  1.610000  1.442759e-01  -0.8408  0  nan  nan  nan  +nan  +1.293006e-02  +1.323315e-02  0  0  0
2.9999999999999800e+00  C  32.000000  32.000000  32.000000  8.5655723591e+00  5.168750  1.202230e+00  0.0800  0  nan  nan  nan  +nan  +2.182119e-01  +4.985036e-01  0  0  0
3.9999999999999600e+00  A  35.968750  32.000000  32.000000  4.4509152468e+00  1.610000  1.443412e-01  -0.8406  0  nan  nan  nan  +nan  +3.950623e-02  +6.554146e-03  0  0  0
3.9999999999999600e+00  B  28.031250  32.000000  32.000000  4.4509104215e+00  1.610000  1.443400e-01  -0.8406  0  nan  nan  nan  +nan  +3.950623e-02  +6.554146e-03  0  0  0
3.9999999999999600e+00  C  32.000000  32.000000  32.000000  8.5351864923e+00  5.168750  1.194417e+00  0.0772  0  nan  nan  nan  +nan  +2.166373e-01  +4.929361e-01  0  0  0
4.9999999999999396e+00  A  35.968750  32.000000  32.000000  4.4524427475e+00  1.610000  1.447340e-01  -0.8394  0  nan  nan  nan  +nan  +7.599986e-02  +6.486512e-03  0  0  0
4.9999999999999396e+00  B  28.031250  32.000000  32.000000  4.4524323752e+00  1.610000  1.447313e-01  -0.8394  0  nan  nan  nan  +nan  +7.599986e-02  +6.486512e-03  0  0  0
4.9999999999999396e+00  C  32.000000  32.000000  32.000000  8.4904708067e+00  5.088750  1.182921e+00  0.0730  0  nan  nan  nan  +nan  +5.094080e-01  +2.154917e-01  0  0  0
5.9999999999999201e+00  A  35.906250  32.000000  32.000000  4.4524596631e+00  1.610000  1.447383e-01  -0.8394  0  nan  nan  nan  +nan  +3.159892e-02  +6.059445e-02  0  0  0
5.9999999999999201e+00  B  28.093750  32.000000  32.000000  4.4524125842e+00  1.610000  1.447262e-01  -0.8395  0  nan  nan  nan  +nan  +3.159892e-02  +6.059445e-02  0  0  0
5.9999999999999201e+00  C  32.000000  32.000000  32.000000  8.4334665765e+00  5.106250  1.168265e+00  0.0675  0  nan  nan  nan  +nan  +2.140252e-01  +4.910958e-01  0  0  0
6.9999999999998996e+00  A  35.843750  32.000000  32.000000  4.4536983606e+00  1.610000  1.450568e-01  -0.8385  0  nan  nan  nan  +nan  +2.569756e-02  +1.171492e-01  0  0  0
6.9999999999998996e+00  B  28.156250  32.000000  32.000000  4.4536497131e+00  1.610000  1.450443e-01  -0.8385  0  nan  nan  nan  +nan  +2.569756e-02  +1.171492e-01  0  0  0
6.9999999999998996e+00  C  32.000000  32.000000  32.000000  8.3598256777e+00  5.043750  1.149332e+00  0.0604  0  nan  nan  nan  +nan  +2.163394e-01  +4.935723e-01  0  0  0
