# thinned to dt=0.05 from the every-step stream; the last 1 time units are kept whole (the death window)
#       time                  xA                  yA                  zA            chiA_pit                  nA                  xB                  yB                  zB            chiB_pit                  nB
   0.0000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.1954060335e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.1954060335e-07    4.0000000000e+00
   0.0500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.3660610113e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.3660610113e-07    4.0000000000e+00
   0.1000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.5355347836e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.5355347836e-07    4.0000000000e+00
   0.1500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.7038631611e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.7038631611e-07    4.0000000000e+00
   0.2000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8710804006e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    3.8710804006e-07    4.0000000000e+00
   0.2500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0372190628e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.0372190628e-07    4.0000000000e+00
   0.3000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2023100301e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.2023100301e-07    4.0000000000e+00
   0.3500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.3663825608e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.3663825608e-07    4.0000000000e+00
   0.4000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.5294642110e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.5294642110e-07    4.0000000000e+00
   0.4500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.6915807283e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.6915807283e-07    4.0000000000e+00
   0.5000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.8527560125e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    4.8527560125e-07    4.0000000000e+00
   0.5500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.0130117413e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.0130117413e-07    4.0000000000e+00
   0.6000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.1723670486e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.1723670486e-07    4.0000000000e+00
   0.6500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.3308383207e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.3308383207e-07    4.0000000000e+00
   0.7000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.4884389171e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.4884389171e-07    4.0000000000e+00
   0.7500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.6451789164e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.6451789164e-07    4.0000000000e+00
   0.8000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.8010649234e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.8010649234e-07    4.0000000000e+00
   0.8500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.9560999441e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    5.9560999441e-07    4.0000000000e+00
   0.9000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.1102833366e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.1102833366e-07    4.0000000000e+00
   0.9500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.2636108566e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.2636108566e-07    4.0000000000e+00
   1.0000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.4160747962e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.4160747962e-07    4.0000000000e+00
   1.0500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.5676642068e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.5676642068e-07    4.0000000000e+00
   1.1000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.7183652049e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.7183652049e-07    4.0000000000e+00
   1.1500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.8681613516e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    6.8681613516e-07    4.0000000000e+00
   1.2000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.0170340922e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.0170340922e-07    4.0000000000e+00
   1.2500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.1649632437e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.1649632437e-07    4.0000000000e+00
   1.3000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.3119275223e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.3119275223e-07    4.0000000000e+00
   1.3500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.4579050975e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.4579050975e-07    4.0000000000e+00
   1.4000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.6028741632e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.6028741632e-07    4.0000000000e+00
   1.4500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.7468135169e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.7468135169e-07    4.0000000000e+00
   1.5000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.8897031414e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    7.8897031414e-07    4.0000000000e+00
   1.5500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.0315247804e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.0315247804e-07    4.0000000000e+00
   1.6000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.1722625030e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.1722625030e-07    4.0000000000e+00
   1.6500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.3119032534e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.3119032534e-07    4.0000000000e+00
   1.7000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.4504373817e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.4504373817e-07    4.0000000000e+00
   1.7500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.5878591511e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.5878591511e-07    4.0000000000e+00
   1.8000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.7241672197e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.7241672197e-07    4.0000000000e+00
   1.8500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.8593650938e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.8593650938e-07    4.0000000000e+00
   1.9000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.9934615500e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    8.9934615500e-07    4.0000000000e+00
   1.9500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.1264710228e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.1264710228e-07    4.0000000000e+00
   2.0000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.2584139567e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.2584139567e-07    4.0000000000e+00
   2.0500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.3893171183e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.3893171183e-07    4.0000000000e+00
   2.1000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.5192138676e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.5192138676e-07    4.0000000000e+00
   2.1500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.6481443845e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.6481443845e-07    4.0000000000e+00
   2.2000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.7761558486e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.7761558486e-07    4.0000000000e+00
   2.2500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.9033025696e-07    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    9.9033025696e-07    4.0000000000e+00
   2.3000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0029646065e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0029646065e-06    4.0000000000e+00
   2.3500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0155255086e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0155255086e-06    4.0000000000e+00
   2.4000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0280205579e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0280205579e-06    4.0000000000e+00
   2.4500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0404580598e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0404580598e-06    4.0000000000e+00
   2.5000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0528470149e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0528470149e-06    4.0000000000e+00
   2.5500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0651970969e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0651970969e-06    4.0000000000e+00
   2.6000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0775186248e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0775186248e-06    4.0000000000e+00
   2.6500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0898225281e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.0898225281e-06    4.0000000000e+00
   2.7000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1021203048e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1021203048e-06    4.0000000000e+00
   2.7500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1144239739e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1144239739e-06    4.0000000000e+00
   2.8000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1267460198e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1267460198e-06    4.0000000000e+00
   2.8500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1390993312e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1390993312e-06    4.0000000000e+00
   2.9000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1514971333e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1514971333e-06    4.0000000000e+00
   2.9500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1639529127e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1639529127e-06    4.0000000000e+00
   3.0000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1764803381e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1764803381e-06    4.0000000000e+00
   3.0500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1890931738e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.1890931738e-06    4.0000000000e+00
   3.1000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2018051885e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2018051885e-06    4.0000000000e+00
   3.1500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2146300599e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2146300599e-06    4.0000000000e+00
   3.2000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2275812744e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2275812744e-06    4.0000000000e+00
   3.2500000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2406720243e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2406720243e-06    4.0000000000e+00
   3.3000000   -3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2539151020e-06    4.0000000000e+00    3.9687500000e+00    0.0000000000e+00    0.0000000000e+00    1.2539151020e-06    4.0000000000e+00
