# time  R_areal_min  r_at_R_areal_min
0.0000000000000000e+00  3.8122226703645476e+00  1.6095266918802558e+00
1.0000000000000000e+00  3.8197961487615295e+00  1.6095266918802558e+00
2.0000000000000000e+00  3.8251828124388689e+00  1.6095266918802558e+00
2.9999999999999800e+00  3.8304948628647626e+00  1.6095266918802558e+00
3.9999999999999600e+00  3.8351110214785797e+00  1.6095266918802558e+00
4.9999999999999396e+00  3.8388680445854773e+00  1.6095266918802558e+00
5.9999999999999201e+00  3.8425061519708015e+00  1.6095266918802558e+00
6.9999999999998996e+00  3.8461784745110652e+00  1.6095266918802558e+00
7.9999999999998703e+00  3.8500836943947507e+00  1.5782796953883047e+00
8.9999999999998508e+00  3.8544052913341562e+00  1.5782796953883047e+00
9.9999999999998295e+00  3.8593912864930604e+00  1.6095266918802558e+00
1.0999999999999799e+01  3.8652333336760596e+00  1.6095266918802558e+00
1.1999999999999799e+01  3.8722044809733682e+00  1.6095266918802558e+00
1.2999999999999799e+01  3.8806132876847528e+00  1.6095266918802558e+00
1.3999999999999700e+01  3.8908381815465285e+00  1.6095266918802558e+00
1.4999999999999700e+01  3.9033322668484116e+00  1.6095266918802558e+00
1.5999999999999700e+01  3.9186486818843620e+00  1.6095266918802558e+00
1.6999999999999901e+01  3.9372821465548973e+00  1.6407738027756904e+00
1.8000000000000000e+01  3.9597727567989622e+00  1.6407738027756904e+00
1.9000000000000199e+01  3.9873463136032363e+00  1.6720210216606131e+00
2.0000000000000298e+01  4.0204669348423225e+00  1.6720210216606131e+00
2.1000000000000501e+01  4.0605116376472319e+00  1.7032683425916775e+00
2.2000000000000600e+01  4.1086904093560905e+00  1.7345157600537966e+00
2.3000000000000799e+01  4.1663809833125791e+00  1.7657632689222529e+00
2.4000000000000998e+01  4.2350096982453698e+00  1.8282585421310082e+00
2.5000000000001101e+01  4.3161886987675597e+00  1.8595062978852748e+00
2.6000000000001300e+01  4.4113904387865421e+00  1.9220020283222907e+00
2.7000000000001400e+01  4.5218865297008293e+00  2.0157461203919009e+00
